"index";"from";"to"
1030;"água";"temperatura"
1031;"água";"óleo"
1032;"água";"higiene"
1033;"água";"solo"
1034;"água";"sólido"
1035;"água";"planta"
1036;"água";"inseto"
1037;"água";"sal"
1038;"água";"vida"
1039;"água";"tanzânia"
1040;"água";"seca"
1041;"água";"diarreia"
1042;"água";"brasil"
1043;"água";"agricultura"
1044;"água";"energia"
1045;"água";"melhoramento genético"
1046;"água";"vitamina"
1047;"resultados";"brasil"
1048;"aveia";"fósforo"
1049;"aveia";"açúcar"
1050;"aveia";"gordura"
1051;"aveia";"fibra"
1052;"aveia";"leguminosa"
1053;"aveia";"magnésio"
1054;"aveia";"água"
1055;"aveia";"cálcio"
1056;"aveia";"intestino delgado"
1057;"aveia";"espécie"
1058;"aveia";"minerai"
1059;"aveia";"vitamina"
1060;"aveia";"proteína"
1061;"adubo";"seca"
1062;"adubo";"temperatura"
1063;"adubo";"brasil"
1064;"adubo";"água"
1065;"adubo";"solo"
1066;"adubo";"madeira"
1067;"adubo";"calor"
1068;"inverno";"clima temperado"
1069;"inverno";"estrela"
1070;"ovo";"animal"
1071;"ovo";"espermatozoide"
1072;"ovo";"gestação"
1073;"responsáveis";"necessidade"
1074;"responsáveis";"química"
1075;"responsáveis";"brasil"
1076;"responsáveis";"energia"
1077;"responsáveis";"processo"
1078;"responsáveis";"base"
1079;"responsáveis";"sistema"
1080;"engloba";"contagem"
1081;"engloba";"açúcar"
1082;"engloba";"serviço"
1083;"engloba";"região"
1084;"engloba";"brasil"
1085;"engloba";"mestiço"
1086;"engloba";"agricultura"
1087;"engloba";"clima temperado"
1088;"engloba";"energia"
1089;"engloba";"carne"
1090;"engloba";"média"
1091;"engloba";"paí"
1092;"engloba";"população"
1093;"engloba";"cerrado"
1094;"engloba";"madeira"
1095;"engloba";"cultura"
1096;"arborização";"fosfato"
1097;"arborização";"árvore"
1098;"arborização";"brasil"
1099;"arborização";"madeira"
1100;"arborização";"concreto"
1101;"arborização";"esterco"
1102;"arborização";"água"
1103;"desaleitamento";"forragem"
1104;"antibiótico";"microrganismo"
1105;"antibiótico";"infecção"
1106;"antibiótico";"diarreia"
1107;"antibiótico";"bactéria"
1108;"frequência";"líquido"
1109;"frequência";"matéria"
1110;"frequência";"sólido"
1111;"dna";"fósforo"
1112;"dna";"açúcar"
1113;"dna";"fosfato"
1114;"dna";"proteína"
1115;"dna";"planta"
1116;"dna";"célula"
1117;"dna";"animal"
1118;"dna";"dna"
1119;"dna";"gene"
1120;"dna";"bactéria"
1121;"dna";"espécie"
1122;"dna";"vida"
1123;"dna";"genoma"
1124;"dna";"sangue"
1125;"dna";"genética"
1126;"dna";"nitrogênio"
1127;"modificado";"brasil"
1128;"modificado";"clonagem"
1129;"modificado";"gene"
1130;"modificado";"bactéria"
1131;"modificado";"dna"
1132;"modificado";"espécie"
1133;"modificado";"melhoramento genético"
1134;"modificado";"genoma"
1135;"modificado";"embrapa"
1136;"modificado";"genética"
1137;"modificado";"organismo"
1138;"fasciolose";"dor"
1139;"estratégico";"comportamento"
1140;"estratégico";"legislação"
1141;"inseminação";"placenta"
1142;"inseminação";"sêman"
1143;"inseminação";"clínica"
1144;"inseminação";"útero"
1145;"inseminação";"parto"
1146;"inseminação";"espermatozoide"
1147;"nlemfuensis";"espécie"
1148;"cestoide";"alimento"
1149;"cestoide";"parasita"
1150;"fósforo";"ureia"
1151;"fósforo";"selênio"
1152;"fósforo";"magnésio"
1153;"fósforo";"doença"
1154;"fósforo";"alumínio"
1155;"fósforo";"organismo"
1156;"fósforo";"proteína"
1157;"fósforo";"mineral"
1158;"fósforo";"químico"
1159;"fósforo";"gordura"
1160;"fósforo";"fosfato"
1161;"fósforo";"idade"
1162;"fósforo";"sódio"
1163;"fósforo";"umidade"
1164;"fósforo";"água"
1165;"fósforo";"sólido"
1166;"fósforo";"cobalto"
1167;"fósforo";"minerai"
1168;"fósforo";"capacidade"
1169;"fósforo";"nitrogênio"
1170;"fósforo";"formação"
1171;"fósforo";"medicamento"
1172;"fósforo";"agricultura"
1173;"fósforo";"população"
1174;"fósforo";"cálcio"
1175;"fósforo";"dor"
1176;"fósforo";"mortalidade"
1177;"fósforo";"dieta"
1178;"nascimento";"útero"
1179;"nascimento";"célula"
1180;"nascimento";"parto"
1181;"nascimento";"semente"
1182;"nascimento";"ovo"
1183;"nascimento";"bactéria"
1184;"nascimento";"vida"
1185;"nascimento";"organismo"
1186;"mastite";"infecção"
1187;"mastite";"glândula mamária"
1188;"mastite";"inflamação"
1189;"mastite";"dor"
1190;"mastite";"bactéria"
1191;"mastite";"antibiótico"
1192;"mastite";"febre"
1193;"essenciais";"alimento"
1194;"essenciais";"ureia"
1195;"essenciais";"proteína"
1196;"essenciais";"ph"
1197;"essenciais";"fermentação"
1198;"essenciais";"água"
1199;"essenciais";"ingestão"
1200;"essenciais";"nitrogênio"
1201;"entender";"brasil"
1202;"abaixo";"temperatura"
1203;"abaixo";"química"
1204;"abaixo";"água"
1205;"rotina";"arquitetura"
1206;"leite";"placenta"
1207;"leite";"indústria"
1208;"leite";"fêmea"
1209;"leite";"zebu"
1210;"leite";"selênio"
1211;"leite";"magnésio"
1212;"leite";"fermentação"
1213;"leite";"doença"
1214;"leite";"lactose"
1215;"leite";"mastite"
1216;"leite";"espécie"
1217;"leite";"colostro"
1218;"leite";"proteína"
1219;"leite";"fósforo"
1220;"leite";"alimento"
1221;"leite";"gordura"
1222;"leite";"glândula mamária"
1223;"leite";"químico"
1224;"leite";"mãe"
1225;"leite";"sódio"
1226;"leite";"lactação"
1227;"leite";"úbere"
1228;"leite";"higiene"
1229;"leite";"hormônio"
1230;"leite";"imunoglobulina"
1231;"leite";"mistura"
1232;"leite";"pasteurização"
1233;"leite";"genética"
1234;"leite";"água"
1235;"leite";"açúcar"
1236;"leite";"nutriente"
1237;"leite";"bovino"
1238;"leite";"transporte"
1239;"leite";"planta"
1240;"leite";"manteiga"
1241;"leite";"inflamação"
1242;"leite";"dna"
1243;"leite";"vitamina"
1244;"leite";"minerai"
1245;"leite";"sal"
1246;"leite";"vaca"
1247;"leite";"queijo"
1248;"leite";"diarreia"
1249;"leite";"brasil"
1250;"leite";"gene"
1251;"leite";"cálcio"
1252;"leite";"ordenha"
1253;"leite";"mecânica"
1254;"mistura";"ventilação"
1255;"mistura";"substância"
1256;"mistura";"leite"
1257;"mistura";"química"
1258;"dupla";"brasil"
1259;"dupla";"madeira"
1260;"ph";"química"
1261;"ph";"agricultura"
1262;"ph";"leite"
1263;"ph";"concentração"
1264;"ph";"sangue"
1265;"ph";"água"
1266;"fêmeas";"espermatozoide"
1267;"fêmeas";"macho"
1268;"fêmeas";"sexo"
1269;"calor";"líquido"
1270;"calor";"substância"
1271;"calor";"partícula"
1272;"calor";"alumínio"
1273;"calor";"concreto"
1274;"calor";"organismo"
1275;"calor";"proteína"
1276;"calor";"alimento"
1277;"calor";"gordura"
1278;"calor";"químico"
1279;"calor";"temperatura"
1280;"calor";"óleo"
1281;"calor";"taxon"
1282;"calor";"água"
1283;"calor";"inverno"
1284;"calor";"umidade relativa"
1285;"calor";"madeira"
1286;"calor";"vida"
1287;"calor";"calórico"
1288;"calor";"papel"
1289;"calor";"área"
1290;"calor";"energia"
1291;"calor";"população"
1292;"calor";"matéria"
1293;"calor";"calor"
1294;"terapia";"doença"
1295;"terapia";"tratamento"
1296;"tratar";"brasil"
1297;"tratar";"tratado"
1298;"contraindicação";"medicamento"
1299;"currai";"animai"
1300;"currai";"gado"
1301;"currai";"cerca"
1302;"currai";"madeira"
1303;"diarreia";"fez"
1304;"diarreia";"infecção"
1305;"diarreia";"açúcar"
1306;"diarreia";"medicamento"
1307;"diarreia";"parasita"
1308;"diarreia";"lactose"
1309;"diarreia";"bactéria"
1310;"diarreia";"intestino delgado"
1311;"diarreia";"antibiótico"
1312;"biossólido";"lodo"
1313;"biossólido";"compostagem"
1314;"dejeto";"mineral"
1315;"dejeto";"temperatura"
1316;"dejeto";"inverno"
1317;"dejeto";"seca"
1318;"dejeto";"irrigação"
1319;"dejeto";"agricultura"
1320;"dejeto";"planta"
1321;"dejeto";"gramínea"
1322;"dejeto";"cálcio"
1323;"dejeto";"solo"
1324;"dejeto";"sal"
1325;"dejeto";"umidade"
1326;"dejeto";"lagoa"
1327;"dejeto";"água"
1328;"zebuínas";"radiação solar"
1329;"zebuínas";"fêmea"
1330;"zebuínas";"cavalo"
1331;"zebuínas";"zebu"
1332;"zebuínas";"produtividade"
1333;"zebuínas";"macho"
1334;"zebuínas";"guzerá"
1335;"zebuínas";"espécie"
1336;"zebuínas";"reprodução"
1337;"zebuínas";"bezerro"
1338;"zebuínas";"sêman"
1339;"zebuínas";"elefante"
1340;"zebuínas";"útero"
1341;"zebuínas";"bovino"
1342;"zebuínas";"carne"
1343;"zebuínas";"animal"
1344;"zebuínas";"espermatozoide"
1345;"zebuínas";"leite"
1346;"zebuínas";"inseminação artificial"
1347;"zebuínas";"gir"
1348;"zebuínas";"chifre"
1349;"zebuínas";"rúman"
1350;"zebuínas";"brasil"
1351;"zebuínas";"melhoramento genético"
1352;"zebuínas";"calor"
1353;"selecionado";"literatura"
1354;"selecionado";"médico"
1355;"selecionado";"aborto"
1356;"árvore";"papel"
1357;"árvore";"arbusto"
1358;"árvore";"brasil"
1359;"árvore";"hormônio"
1360;"árvore";"clima temperado"
1361;"árvore";"planta"
1362;"árvore";"volume"
1363;"árvore";"folha"
1364;"árvore";"cerrado"
1365;"árvore";"declive"
1366;"árvore";"bactéria"
1367;"árvore";"inseto"
1368;"árvore";"espécie"
1369;"árvore";"madeira"
1370;"árvore";"solo"
1371;"árvore";"altura"
1372;"árvore";"água"
1373;"solo";"calcário"
1374;"solo";"adubo"
1375;"solo";"nutriente"
1376;"solo";"brasil"
1377;"solo";"planta"
1378;"solo";"água"
1379;"solo";"partícula"
1380;"solo";"fertilidade"
1381;"solo";"sal"
1382;"solo";"organismo"
1383;"solo";"nitrogênio"
1384;"recomendado";"brasil"
1385;"cobalto";"mineral"
1386;"cobalto";"fósforo"
1387;"cobalto";"sólido"
1388;"cobalto";"selênio"
1389;"cobalto";"magnésio"
1390;"cobalto";"sódio"
1391;"cobalto";"alumínio"
1392;"cobalto";"cálcio"
1393;"cobalto";"pasteurização"
1394;"cobalto";"vitamina"
1395;"magnésio";"mineral"
1396;"magnésio";"fósforo"
1397;"magnésio";"alimento"
1398;"magnésio";"sólido"
1399;"magnésio";"cobalto"
1400;"magnésio";"agricultura"
1401;"magnésio";"selênio"
1402;"magnésio";"sódio"
1403;"magnésio";"dna"
1404;"magnésio";"alumínio"
1405;"magnésio";"cálcio"
1406;"magnésio";"sal"
1407;"ingestão";"fez"
1408;"ingestão";"alimento"
1409;"ingestão";"medicamento"
1410;"ingestão";"parasita"
1411;"ingestão";"alimentação"
1412;"ingestão";"doença"
1413;"ingestão";"bactéria"
1414;"ingestão";"ovo"
1415;"ingestão";"organismo"
1416;"nutricional";"arquitetura"
1417;"nutricional";"alimento"
1418;"nutricional";"gordura"
1419;"nutricional";"proteína"
1420;"nutricional";"nutriente"
1421;"nutricional";"química"
1422;"nutricional";"agricultura"
1423;"nutricional";"alimentação"
1424;"nutricional";"carne"
1425;"nutricional";"processo"
1426;"nutricional";"doença"
1427;"nutricional";"ingestão"
1428;"nutricional";"vida"
1429;"nutricional";"vitamina"
1430;"nutricional";"organismo"
1431;"nutricional";"dieta"
1432;"bezerros";"brasil"
1433;"bezerros";"agricultura"
1434;"bezerros";"população"
1435;"incluem";"tratado"
1436;"incluem";"indústria"
1437;"incluem";"calcário"
1438;"incluem";"serviço"
1439;"incluem";"brasil"
1440;"incluem";"paí"
1441;"incluem";"clima temperado"
1442;"incluem";"transporte"
1443;"incluem";"energia"
1444;"incluem";"população"
1445;"incluem";"dna"
1446;"incluem";"literatura"
1447;"importante";"pesquisa"
1448;"importante";"indústria"
1449;"importante";"doença"
1450;"importante";"temperatura"
1451;"importante";"alimento"
1452;"importante";"milho"
1453;"importante";"vivo"
1454;"importante";"água"
1455;"importante";"açúcar"
1456;"importante";"inverno"
1457;"importante";"bovino"
1458;"importante";"sorgo"
1459;"importante";"madeira"
1460;"importante";"papel"
1461;"importante";"brasil"
1462;"importante";"área"
1463;"importante";"população"
1464;"importante";"cerrado"
1465;"importante";"mecânica"
1466;"importante";"superfície"
1467;"importante";"calor"
1468;"libido";"útero"
1469;"libido";"energia"
1470;"libido";"droga"
1471;"libido";"ovário"
1472;"libido";"vagina"
1473;"libido";"sexo"
1474;"arbusto";"árvore"
1475;"horário";"inverno"
1476;"lagoa";"irrigação"
1477;"lagoa";"seca"
1478;"lagoa";"inseto"
1479;"lagoa";"área"
1480;"sintoma";"comportamento"
1481;"sintoma";"fez"
1482;"sintoma";"doença"
1483;"sintoma";"dor"
1484;"sintoma";"tristeza"
1485;"sintoma";"febre"
1486;"dactylon";"nutriente"
1487;"dactylon";"cana"
1488;"dactylon";"impacto"
1489;"dactylon";"pasto"
1490;"dactylon";"solo"
1491;"dactylon";"espécie"
1492;"dactylon";"cynodon"
1493;"peletizado";"alumínio"
1494;"peletizado";"calcário"
1495;"resíduo";"fez"
1496;"resíduo";"óleo"
1497;"resíduo";"adubo"
1498;"resíduo";"máquina"
1499;"resíduo";"brasil"
1500;"resíduo";"organismo"
1501;"resíduo";"agricultura"
1502;"resíduo";"ph"
1503;"resíduo";"doença"
1504;"resíduo";"compostagem"
1505;"resíduo";"nitrogênio"
1506;"contaminação";"temperatura"
1507;"contaminação";"indústria"
1508;"contaminação";"concentração"
1509;"contaminação";"química"
1510;"contaminação";"acidez"
1511;"contaminação";"hormônio"
1512;"contaminação";"sistema imunológico"
1513;"contaminação";"energia"
1514;"contaminação";"substância"
1515;"contaminação";"população"
1516;"contaminação";"água"
1517;"contaminação";"espécie"
1518;"contaminação";"ovário"
1519;"contaminação";"minerai"
1520;"contaminação";"resíduo"
1521;"contaminação";"genética"
1522;"contaminação";"calor"
1523;"recuperação";"brasil"
1524;"braquiária";"cerrado"
1525;"braquiária";"espécie"
1526;"podem";"brasil"
1527;"região";"paí"
1528;"clones";"fez"
1529;"clones";"brasil"
1530;"clones";"época"
1531;"clones";"célula"
1532;"clones";"parto"
1533;"clones";"clonagem"
1534;"clones";"propriedade"
1535;"clones";"genética"
1536;"equipamento";"indústria"
1537;"equipamento";"serviço"
1538;"existem";"brasil"
1539;"existem";"agricultura"
1540;"existem";"indústria"
1541;"existem";"seca"
1542;"colonião";"europeu"
1543;"colonião";"paí"
1544;"colonião";"mercado"
1545;"andrológico";"aborto"
1546;"andrológico";"reprodução"
1547;"andrológico";"sexo"
1548;"por";"brasil"
1549;"por";"tanzânia"
1550;"contaminada";"fósforo"
1551;"contaminada";"gordura"
1552;"contaminada";"proteína"
1553;"contaminada";"óleo"
1554;"contaminada";"nutriente"
1555;"contaminada";"química"
1556;"contaminada";"microrganismo"
1557;"contaminada";"água"
1558;"contaminada";"doença"
1559;"contaminada";"bactéria"
1560;"contaminada";"concentração"
1561;"contaminada";"sal"
1562;"contaminada";"nitrogênio"
1563;"embrapa";"brasil"
1564;"intramamária";"antibiótico"
1565;"nutricionais";"alimento"
1566;"nutricionais";"nutriente"
1567;"nutricionais";"energia"
1568;"nutricionais";"alimentação"
1569;"nutricionais";"biológico"
1570;"forrageira";"alfafa"
1571;"forrageira";"gado"
1572;"forrageira";"agricultura"
1573;"forrageira";"aveia"
1574;"forrageira";"alimentação"
1575;"forrageira";"pasto"
1576;"forrageira";"solo"
1577;"forrageira";"vaca"
1578;"forrageira";"carrapato"
1579;"corpo";"inseto"
1580;"corpo";"organismo"
1581;"qual";"brasil"
1582;"limpa";"arquitetura"
1583;"limpa";"contagem"
1584;"limpa";"inverno"
1585;"limpa";"indústria"
1586;"limpa";"açúcar"
1587;"limpa";"umidade relativa"
1588;"limpa";"brasil"
1589;"limpa";"transporte"
1590;"limpa";"banco"
1591;"limpa";"retirada"
1592;"limpa";"sal"
1593;"limpa";"europeu"
1594;"organismo";"nutriente"
1595;"organismo";"energia"
1596;"organismo";"vida"
1597;"organismo";"reprodução"
1598;"organismo";"genética"
1599;"submetida";"parto"
1600;"submetida";"vagina"
1601;"eimeriose";"doença"
1602;"eimeriose";"diarreia"
1603;"eimeriose";"intestino delgado"
1604;"óleo";"alimento"
1605;"óleo";"temperatura"
1606;"óleo";"química"
1607;"óleo";"insumo"
1608;"óleo";"substância"
1609;"óleo";"composto orgânico"
1610;"óleo";"mecânica"
1611;"literatura";"brasil"
1612;"literatura";"arquitetura"
1613;"literatura";"vida"
1614;"literatura";"combate"
1615;"cigarrinha";"seca"
1616;"cigarrinha";"brasil"
1617;"cigarrinha";"inseto"
1618;"cigarrinha";"dor"
1619;"cigarrinha";"ovo"
1620;"pré";"brasil"
1621;"pré";"literatura"
1622;"psicrotróficas";"diarreia"
1623;"psicrotróficas";"ph"
1624;"psicrotróficas";"bactéria"
1625;"psicrotróficas";"solo"
1626;"psicrotróficas";"espécie"
1627;"gramínea";"brachiaria"
1628;"gramínea";"alimento"
1629;"gramínea";"milho"
1630;"gramínea";"agricultura"
1631;"gramínea";"gramínea"
1632;"gramínea";"pasto"
1633;"gramínea";"sorgo"
1634;"gramínea";"espécie"
1635;"gramínea";"inflorescência"
1636;"objetivo";"desempenho"
1637;"objetivo";"sistema"
1638;"objetivo";"estratégia"
1639;"contudo";"paí"
1640;"contudo";"região"
1641;"estoloníferas";"composto orgânico"
1642;"estoloníferas";"inflorescência"
1643;"estoloníferas";"semente"
1644;"novilha";"literatura"
1645;"desvantagem";"consumo"
1646;"desvantagem";"arquitetura"
1647;"desvantagem";"indústria"
1648;"desvantagem";"máquina"
1649;"desvantagem";"química"
1650;"desvantagem";"agricultura"
1651;"sucedâneos";"vitamina"
1652;"sucedâneos";"espécie"
1653;"nutrientes";"mineral"
1654;"nutrientes";"alimento"
1655;"nutrientes";"alimentação"
1656;"nutrientes";"substância"
1657;"nutrientes";"célula"
1658;"nutrientes";"água"
1659;"nutrientes";"adubação"
1660;"nutrientes";"sal"
1661;"nutrientes";"composto orgânico"
1662;"nutrientes";"vida"
1663;"nutrientes";"vitamina"
1664;"nutrientes";"organismo"
1665;"nutrientes";"dieta"
1666;"essa";"brasil"
1667;"essa";"topografia"
1668;"essa";"orientação"
1669;"estrela";"temperatura"
1670;"estrela";"energia"
1671;"estrela";"frequência"
1672;"intoxicação";"alimento"
1673;"intoxicação";"aborto"
1674;"intoxicação";"medicamento"
1675;"intoxicação";"planta"
1676;"intoxicação";"droga"
1677;"intoxicação";"inseto"
1678;"intoxicação";"bactéria"
1679;"corporais";"aborto"
1680;"corporais";"útero"
1681;"corporais";"enfermidade"
1682;"corporais";"dano"
1683;"corporais";"parto"
1684;"corporais";"dor"
1685;"esperar";"médico"
1686;"esperar";"parto"
1687;"irrigação";"alimento"
1688;"irrigação";"temperatura"
1689;"irrigação";"fazenda"
1690;"irrigação";"eficiência"
1691;"irrigação";"brasil"
1692;"irrigação";"agricultura"
1693;"irrigação";"alimentação"
1694;"irrigação";"energia"
1695;"irrigação";"planta"
1696;"irrigação";"frequência"
1697;"irrigação";"produtividade"
1698;"irrigação";"solo"
1699;"irrigação";"pastagem"
1700;"irrigação";"custo"
1701;"irrigação";"técnica"
1702;"irrigação";"ambiente"
1703;"irrigação";"superfície"
1704;"irrigação";"topografia"
1705;"irrigação";"água"
1706;"gir";"parto"
1707;"gir";"bovino"
1708;"casos";"área"
1709;"fenação";"calcário"
1710;"fenação";"fosfato"
1711;"fenação";"brasil"
1712;"fenação";"gado"
1713;"fenação";"leguminosa"
1714;"fenação";"planta"
1715;"fenação";"gramínea"
1716;"fenação";"adubação"
1717;"fenação";"forragem"
1718;"aborto";"gestante"
1719;"aborto";"gestação"
1720;"aborto";"medicamento"
1721;"aborto";"útero"
1722;"aborto";"enfermidade"
1723;"aborto";"parto"
1724;"aborto";"médico"
1725;"aborto";"vagina"
1726;"aborto";"sexo"
1727;"microrganismos";"açúcar"
1728;"microrganismos";"nutriente"
1729;"microrganismos";"bovino"
1730;"microrganismos";"parasita"
1731;"microrganismos";"energia"
1732;"microrganismos";"leguminosa"
1733;"microrganismos";"fermentação"
1734;"microrganismos";"dna"
1735;"microrganismos";"lactose"
1736;"microrganismos";"bactéria"
1737;"microrganismos";"leite"
1738;"microrganismos";"matéria"
1739;"microrganismos";"solo"
1740;"microrganismos";"vida"
1741;"microrganismos";"queijo"
1742;"microrganismos";"reprodução"
1743;"microrganismos";"genética"
1744;"microrganismos";"organismo"
1745;"genético";"animai"
1746;"genético";"agricultura"
1747;"genético";"planta"
1748;"genético";"dna"
1749;"genético";"gene"
1750;"genético";"variabilidade genética"
1751;"genético";"genoma"
1752;"genético";"organismo"
1753;"genético";"proteína"
1754;"planejamento";"brasil"
1755;"planejamento";"processo"
1756;"planejamento";"objetivo"
1757;"planejamento";"custo"
1758;"tanzânia";"agricultura"
1759;"tanzânia";"população"
1760;"capineira";"brasil"
1761;"capineira";"cultura"
1762;"garantir";"equipamento"
1763;"cérvix";"ovário"
1764;"cérvix";"vagina"
1765;"cérvix";"útero"
1766;"infecçõe";"brasil"
1767;"infecçõe";"microrganismo"
1768;"infecçõe";"inflamação"
1769;"infecçõe";"doença"
1770;"infecçõe";"bactéria"
1771;"infecçõe";"antibiótico"
1772;"infecçõe";"organismo"
1773;"clonagem";"animai"
1774;"clonagem";"glândula mamária"
1775;"clonagem";"legislação"
1776;"clonagem";"útero"
1777;"clonagem";"célula"
1778;"clonagem";"animal"
1779;"clonagem";"gene"
1780;"clonagem";"bactéria"
1781;"clonagem";"reprodução"
1782;"clonagem";"genética"
1783;"confinamento";"irrigação"
1784;"confinamento";"agricultura"
1785;"confinamento";"fazenda"
1786;"úmido";"medida"
1787;"úmido";"temperatura"
1788;"úmido";"umidade relativa"
1789;"úmido";"saturação"
1790;"úmido";"sangue"
1791;"úmido";"água"
1792;"desinfecção";"célula"
1793;"desinfecção";"ph"
1794;"desinfecção";"proteína"
1795;"ocorrer";"estresse"
1796;"ocorrer";"infecção"
1797;"ocorrer";"vacina"
1798;"ocorrer";"inflamação"
1799;"ocorrer";"leite"
1800;"ocorrer";"antibiótico"
1801;"nívei";"inclinação"
1802;"médico";"doença"
1803;"médico";"dor"
1804;"médico";"química"
1805;"transporte";"líquido"
1806;"transporte";"elefante"
1807;"transporte";"indústria"
1808;"transporte";"eficiência"
1809;"transporte";"brasil"
1810;"transporte";"cavalo"
1811;"transporte";"agricultura"
1812;"transporte";"transporte"
1813;"transporte";"concreto"
1814;"transporte";"produção"
1815;"transporte";"cultura"
1816;"transporte";"custo"
1817;"pasteurização";"temperatura"
1818;"pasteurização";"químico"
1819;"pasteurização";"microrganismo"
1820;"pasteurização";"leite"
1821;"pasteurização";"água"
1822;"fatores";"temperatura"
1823;"fatores";"radiação solar"
1824;"fatores";"química"
1825;"fatores";"ph"
1826;"fatores";"orgânico"
1827;"fatores";"solo"
1828;"fatores";"semente"
1829;"fatores";"água"
1830;"gestante";"placenta"
1831;"gestante";"ureia"
1832;"gestante";"nascimento"
1833;"gestante";"leguminosa"
1834;"gestante";"magnésio"
1835;"gestante";"bactéria"
1836;"gestante";"mastite"
1837;"gestante";"colostro"
1838;"gestante";"reprodução"
1839;"gestante";"proteína"
1840;"gestante";"fez"
1841;"gestante";"fósforo"
1842;"gestante";"gestação"
1843;"gestante";"útero"
1844;"gestante";"sódio"
1845;"gestante";"parto"
1846;"gestante";"pasteurização"
1847;"gestante";"carne"
1848;"gestante";"manteiga"
1849;"gestante";"mão"
1850;"gestante";"espermatozoide"
1851;"gestante";"vitamina"
1852;"gestante";"leite"
1853;"gestante";"inseminação artificial"
1854;"gestante";"queijo"
1855;"gestante";"vagina"
1856;"gestante";"aborto"
1857;"gestante";"diarreia"
1858;"gestante";"droga"
1859;"gestante";"cálcio"
1860;"gestante";"antibiótico"
1861;"lactação";"placenta"
1862;"lactação";"infecção"
1863;"lactação";"diarreia"
1864;"lactação";"peso"
1865;"lactação";"útero"
1866;"lactação";"parto"
1867;"lactação";"fertilidade"
1868;"lactação";"inseminação artificial"
1869;"lactação";"colostro"
1870;"fornecê";"transporte"
1871;"fornecê";"serviço"
1872;"leguminosa";"alfafa"
1873;"leguminosa";"arbusto"
1874;"leguminosa";"árvore"
1875;"leguminosa";"brasil"
1876;"leguminosa";"nitrogênio"
1877;"leguminosa";"folha"
1878;"leguminosa";"dna"
1879;"leguminosa";"bactéria"
1880;"leguminosa";"ovário"
1881;"leguminosa";"forragem"
1882;"adultos";"acasalamento"
1883;"adultos";"cultura"
1884;"adultos";"espécie"
1885;"ovário";"placenta"
1886;"ovário";"útero"
1887;"ovário";"núcleo"
1888;"ovário";"espermatozoide"
1889;"ovário";"cérvix"
1890;"ovário";"hormônio"
1891;"ovário";"ovário"
1892;"ovário";"vagina"
1893;"matéria";"líquido"
1894;"matéria";"sólido"
1895;"matéria";"química"
1896;"matéria";"composto"
1897;"matéria";"energia"
1898;"matéria";"substância"
1899;"matéria";"volume"
1900;"matéria";"vida"
1901;"matéria";"organismo"
1902;"basilisk";"brasil"
1903;"inflorescência";"cerrado"
1904;"inflorescência";"semente"
1905;"lactose";"diarreia"
1906;"lactose";"bovino"
1907;"lactose";"bactéria"
1908;"lactose";"intestino delgado"
1909;"lactose";"composto orgânico"
1910;"lactose";"queijo"
1911;"lactose";"sistema imunológico"
1912;"lactose";"genética"
1913;"lactose";"água"
1914;"europeu";"indústria"
1915;"europeu";"aborto"
1916;"europeu";"máquina"
1917;"europeu";"região"
1918;"europeu";"paí"
1919;"europeu";"transporte"
1920;"europeu";"clima temperado"
1921;"europeu";"agricultura"
1922;"europeu";"área"
1923;"europeu";"econômica"
1924;"europeu";"população"
1925;"europeu";"doença"
1926;"europeu";"literatura"
1927;"europeu";"cultura"
1928;"químico";"pesquisa"
1929;"químico";"química"
1930;"químico";"acidez"
1931;"químico";"matéria"
1932;"químico";"composto orgânico"
1933;"químico";"mecânica"
1934;"dada";"brasil"
1935;"mãe";"brasil"
1936;"mãe";"útero"
1937;"mãe";"vida"
1938;"mãe";"fêmea"
1939;"química";"líquido"
1940;"química";"ureia"
1941;"química";"substância"
1942;"química";"fermentação"
1943;"química";"célula"
1944;"química";"estrela"
1945;"química";"organismo"
1946;"química";"proteína"
1947;"química";"arquitetura"
1948;"química";"alimento"
1949;"química";"fósforo"
1950;"química";"fosfato"
1951;"química";"químico"
1952;"química";"temperatura"
1953;"química";"sistema"
1954;"química";"água"
1955;"química";"odor"
1956;"química";"sólido"
1957;"química";"cobalto"
1958;"química";"dna"
1959;"química";"sal"
1960;"química";"composição química"
1961;"química";"vida"
1962;"química";"nitrogênio"
1963;"química";"medicamento"
1964;"química";"brasil"
1965;"química";"agricultura"
1966;"química";"energia"
1967;"química";"volume"
1968;"adotado";"brasil"
1969;"adotado";"raça"
1970;"sistema";"população"
1971;"sistema";"célula"
1972;"sistema";"elemento"
1973;"sistema";"matéria"
1974;"sistema";"estrela"
1975;"sistema";"organismo"
1976;"capim";"brachiaria"
1977;"capim";"alimento"
1978;"capim";"milho"
1979;"capim";"agricultura"
1980;"capim";"gramínea"
1981;"capim";"pasto"
1982;"capim";"sorgo"
1983;"capim";"espécie"
1984;"capim";"inflorescência"
1985;"planta";"radiação solar"
1986;"planta";"árvore"
1987;"planta";"irrigação"
1988;"planta";"leguminosa"
1989;"planta";"magnésio"
1990;"planta";"célula"
1991;"planta";"bactéria"
1992;"planta";"espécie"
1993;"planta";"organismo"
1994;"planta";"mineral"
1995;"planta";"fez"
1996;"planta";"fósforo"
1997;"planta";"arbusto"
1998;"planta";"gramínea"
1999;"planta";"solo"
2000;"planta";"taxon"
2001;"planta";"genética"
