main,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
praga,cultura,pastagem,natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desinfetar,teto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desaleitar,bezerro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prenhe,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrageiro,espécie,solo,brachiaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raspagem,esterco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compactação,forragem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrageira,inverno,superpastejo,nlemfuensis,densidade,cobertura,capineiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrigo,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxa,lactação,semeadura,piquete,hectare,gestação,fértil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ressemeadura,pasto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pressão,aspersor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decumbem,panicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patógeno,orgânico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasteurizado,leite,cru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ventilação,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solúvel,orgânico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artificial,natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sintoma,perda,medicamento,bactéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sistema,irrigação,ordenha,tricros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berne,espécie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vacina,cooler,aureu,infecção,bactéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panicum,nlemfuensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insumo,animais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dieta,água,gordura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cultura,forrageira,sistema,placa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrada,silo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quente,água,pastagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
captura,mosca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braquiária,ácidos,plantio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seiva,inseto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanguíneo,corrente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protozoário,bactéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
examinar,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fosfato,plantio,pastagem,magnésio,bicálcico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cisteína,enxofre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
via,testículo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comercial,medicamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloro,manganês,magnésio,fósforo,cobre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agudo,infecção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase,lactação,gestação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infecção,pus,coliforme,rebanho,perda,intramamária,desinfecção,clínico,bactéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infestações,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
população,microbiano,pequeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lactose,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exigência,proteína,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
água,forragem,consumir,estrôncio,excreção,aquífero,tóxico,temperatura,salobrar,salinidade,subterrâneo,suficiente,resíduo,perder,corporal,bezerro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ração,desmamar,proteína,nutriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purpureum,panicum,brachiaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lactação,parto,secar,novilho,gestação,fêmea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alimento,sabor,digerir,volumoso,seco,rebanho,puro,leiteiro,gordura,fósforo,forrageira,exigência,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estolonífera,plantio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desaleitamento,desaleitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genoma,bovino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organismo,animal,transgênico,medicamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modo,pastagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
invasor,semente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terreno,grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topografia,pastagem,bom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaca,leite,pesar,útero,gir,água,instalação,emagrecer,maternidade,magro,gordo,parto,lactação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raça,leiteiro,tricros,mestiço,puro,zebuína,holandês,gir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doença,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esterco,compostagem,raspar,cama,líquido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lote,grande,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frasco,análise,caixa,térmico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mão,obra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gordura,proteína,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fator,água,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grande,abrigo,instalação,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semente,plântula,germinação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samambaia,aquilinum,irritação,solo,efeito,infestar,pastagem,organismo,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colher,frasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cerca,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gestação,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuva,pastagem,forrageira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carrapaticida,laboratório,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chifre,mocho,gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brachiaria,ruziziensil,decumbem,brizanthar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cromossomo,gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cruzamento,puro,raça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mineral,suplementar,dieta,selênio,vitamina,concentrado,diluir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proteína,digestão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quarto,antibiótico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novilho,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resíduo,orgânico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medida,medicamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enzima,proteína,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hectare,piquete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morte,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genético,planta,transgênico,material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
análise,solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limpo,água,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teto,leite,medicamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guzer,raça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embrião,vitro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gir,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloreto,água,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
líquido,ruminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preparar,solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pequeno,partícula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leiteiro,leite,rebanho,gir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sabor,butírico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medicamento,reação,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superpastejo,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orgânico,decomposição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
método,plantio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clonagem,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clínico,subclínico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heterose,holandês,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subnutrição,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bactéria,coliforme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hormônio,reprodutivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larva,mosca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volumoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antibiótico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mamar,leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adulto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plantio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fósforo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nutriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tristeza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balancear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lavar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mestiço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gordo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precoce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bebedouro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuidado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imunoglobulina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inverno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inseto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infectar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cocho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suplementar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
açúcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
árvore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabricante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
médio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infeccioso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concentrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cobertura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microbiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holandês,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consumir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doméstico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parasita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desidratação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potássio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utensílio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testículo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agalactiae,bactéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contagioso,bactéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metabólico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coliforme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vacar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aspersor,água,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presença,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inflamatório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compostagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plântula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
globulina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nlemfuensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micuim,carrapato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rotativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proliferação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capineiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
densidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fértil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nutritivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cru,leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
placa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ácidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corrente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicálcico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enxofre,minerais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imunológico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inflamação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manganês,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desinfecção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intramamária,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
médico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arbóreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transgênico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subterrâneo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salinidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salobrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zebuína,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
termômetro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maternidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquífero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
somático,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excreção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estrôncio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brizanthar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infestar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emagrecer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diluir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bulbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aureu,bactéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efeito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fertilizante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomedicina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laboratório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veranico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irritação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selênio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butírico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquilinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decomposição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brinco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruziziensil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raspar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subclínico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
útero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mocho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leite,bezerro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carrapato,agente,infestação,febre,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aftosa,doença,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sangue,sanguíneo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boi,macho,testículo,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gado,boi,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
