index,resposta
170,"A presença de cupins é observada não só em pastagem de braquiária, mas em qualquer outra, principalmente quando se trata 103 de pastagens cultivadas. Oaumento da incidência pode ser explicado, em parte, pela movimentação do solo quando da implantação da forrageira, já que o preparo do solo dissemina essa praga na área. Como no Brasil predominam as pastagens cultivadas de braquiárias, verifica-se maior população dessa praga nessa gramínea. A presença de cupins também está relacionada a solos ácidos, de baixa fertilidade, condição que, na maioria das vezes, está associada a pastagens degradadas, muito comuns nas de braquiárias. Em solos corrigidos e adubados, e em pastagens bem manejadas, a tendência normal é o desaparecimento da praga."
171,"A degradação e o posterior desaparecimento das pastagens de capim-gordura (Melinis minutiflora) devem-se, principalmente, ao manejo inadequado a que foram expostas ao longo do tempo. Asuperlotação das pastagens, isto é, o superpastejo por períodos prolongados, provoca a degradação das pastagens e a substituição gradativa do capim-gordura por plantas invasoras, principalmente pelo capim-sapé (Imperata brasiliensis) e pelo capim-rabo-deburro (Andropogon condensatus). Embora muito apreciado pelos animais, o capim-gordura possui baixa capacidade de suporte, dificilmente atingindo a lotação de uma unidade animal por hectare, o que é facilmente conseguido com gramíneas dos gêneros Brachiaria e Andropogon, entre outras. 104 Diante disso, a ocorrência do superpastejo é facilmente atingida, com reflexo negativo na persistência dessa espécie. Por essa razão, muitos produtores estão recuperando pastagens degradadas de capim-gordura, substituindo-o por outras forrageiras."
172,"As usinas de açúcar ou álcool de todo o Brasil possuem variedades selecionadas para produtividade, teor de açúcar, resistência a pragas e doenças, adaptadas às suas regiões. Sugerese, portanto, dar preferência às variedades em uso pela usina mais próxima da propriedade. No entanto, o produtor pode optar por uma variedade que melhor atenda às suas necessidades, considerando que existem variedades de cana-de-açúcar de florescimento precoce, semiprecoce (médio) e tardio."
173,"Não. Acana-de-açúcar pura é muito pobre em proteína bruta (PB), cujo teor varia de 2% a 4% na matéria seca (MS), portanto, não deve ser utilizada pura na alimentação animal. Mas pode-se suprir a deficiência de PB da cana com a adição de 1% de ureia, na matéria verde. Entretanto, na fase de adaptação, deve-se usar apenas a metade dessa dosagem, ou seja, 0,5% de ureia. Além disso, devese fornecer uma mistura mineral bem balanceada, pois a cana-deaçúcar é pobre também em cálcio, fósforo, magnésio e enxofre. Amistura de cana-de-açúcar picada, com ureia e minerais, pode substituir o capim-elefante picado. É bom salientar que a mistura cana-de-açúcar + ureia fornece nutrientes para mantença das vacas e que os nutrientes para a produção de leite devem vir do concentrado. 105"
174,"A mistura cana-de-açúcar/ureia pode ser oferecida à vontade, sem causar problemas para os animais. Tem-se observado um consumo de 25kg a 30kg por vaca/dia, quando essa mistura é colocada à disposição dos animais estabulados, durante o intervalo das ordenhas da manhã e da tarde."
175,"Porque a mistura cana-de-açúcar/ureia é pobre em enxofre e esse elemento é importante para a síntese de alguns aminoácidos (metionina e cisteína) pelos microrganismos do rúmen. Para incluí-lo na dieta, primeiro adiciona-se enxofre à ureia para depois utilizá-lo na mistura cana-de-açúcar/ureia. Como fonte, pode-se usar o sulfato de amônia. Aproporção é de nove partes de ureia para uma parte de sulfato de amônia, ou seja, 900g de ureia e 100g de sulfato de amônia, totalizando 1kg. Outra alternativa é o sulfato de cálcio (gesso) na base de 800g de ureia e 200g de gesso. Asmisturas ureia/sulfato de amônio ou gesso devem ser bem feitas e guardadas em local inacessível aos animais. A adaptação dos animais à dieta de cana-de-açúcar/ureia é feita da seguinte forma: durante a primeira semana é preciso fornecer a cana-de-açúcar com 0,5% de ureia, isto é, para cada 100kg de cana-de-açúcar, adicionam-se 500g de ureia (450g de ureia e 50g de sulfato de amônia). Aureia deve ser diluída em 3 L a 4 L de água, borrifada com regador sobre a cana-de-açúcar e bem misturada. Apartir da segunda semana, pode-se fornecer a cana-de-açúcar com 1% de ureia, isto é, para cada 100kg de cana-de-açúcar, adiciona-se 1kg da mistura ureia/sulfato de amônio (900g de ureia e 100g de sulfato de amônio). Inicia-se com o fornecimento de 10kg a 15kg de cana-de-açúcar/ureia por vaca/dia, aumentando a quantidade de acordo com o consumo dos animais. 106"
176,"A alfafa (Medicago sativa) é uma das forrageiras mais difundidas em todo o mundo, podendo ser utilizada sob diferentes formas, como forragem conservada (feno ou silagem), na forma verde picada ou em pastejo, sendo um dos volumosos mais indicados para a alimentação de vacas de alto potencial para produção de leite. Ovalor forrageiro da alfafa se dá em razão de seu elevado potencial de produção de matéria seca e de consumo animal, e de sua alta concentração de proteína e digestibilidade. Além disso, apresenta alta concentração de vitaminas A, E e K e de minerais, principalmente cálcio, potássio, magnésio e fósforo."
177,"As pesquisas com alfafa em regiões tropicais, principalmente no Brasil, são recentes e sempre indicam essa leguminosa como volumoso de alta produtividade e valor nutritivo. Assim, pesquisas conduzidas na região Sudeste mostram que, sob condições de irrigação no período da seca, é possível obter produções anuais de matéria seca de, aproximadamente, 27t/ha com um teor de 25% de PB."
178,"A alfafa não se adapta a terrenos mal drenados, ácidos e pobres em nutrientes. Em solos onde há acúmulo de água por períodos prolongados, a alfafa não sobrevive. Asmaiores produtividades são obtidas em solos férteis, profundos, com declividade moderada (de 3% a 10%) e pH em torno de 6,5. Também se deve evitar o plantio da alfafa em locais de grande infestação de Brachiaria decumbens, pois essa competição prejudica em muito o desenvolvimento da alfafa, podendo até eliminá-la da área. 107 Quais as cultivares de alfafa mais recomendadas para"
179,"Poucas são as cultivares disponíveis no mercado brasileiro. Asmais comuns são: Crioula, P30 e Monarca, que podem ser cultivadas em áreas tropicais e subtropicais. Abaixo, breve descrição das cultivares recomendadas:  Cultivar Crioula – As cultivares de alfafa, trazidas pelos imigrantes europeus, foram inicialmente plantadas no Rio Grande do Sul, na região do vale dos rios Cai e Jacuí, onde, pela seleção natural e pela ação do homem, obteve-se uma população naturalizada, denominada de Crioula. Até o momento, é a única cultivar desenvolvida no País. Esse material apresenta alta proporção de folhas. Ocrescimento dos colmos é ereto, facilitando o corte mecânico da forragem e proporcionando feno de boa qualidade.  Cultivar P30 – Trata-se de cultivar desenvolvida na Argentina, caracterizada pela alta produção de forragem em solos pesados, colmos com crescimento semiereto e macios e raízes bastante profundas, sendo indicada para sistemas intensivos de produção animal. Aalta tolerância às doenças foliares permite manter a qualidade de sua forragem durante todo o ciclo produtivo.  Cultivar Monarca – Essa cultivar também foi desenvolvida na Argentina e se caracteriza pelo porte ereto, alta proporção de folhas com coloração verde-clara e excelente vigor de rebrota. Apresenta boa tolerância aos pulgões e às doenças foliares, o que permite retenção de folhas durante o período de crescimento vegetativo."
180,"Usam-se no plantio da alfafa cerca de 18kg/ha de sementes viáveis (capazes de germinar). Oplantio pode ser feito em sulcos 108 rasos (de 1cm a 2cm de profundidade), com espaçamento de 15cm a 30cm, ou a lanço, desde que bem realizado, para evitar falhas na área. Oplantio a lanço exige leve incorporação das sementes ao solo e é mais indicado quando se objetiva o pastejo, mas dificulta o controle mecânico das invasoras. Ainoculação das sementes é necessária, pois permite a associação das raízes da alfafa com bactérias do gênero Rizobium, que fixam o nitrogênio atmosférico, incorporando-o ao solo."
181,"Em condições de irrigação, os plantios realizados no final de inverno (início da primavera) são mais eficientes para o estabelecimento da alfafa do que os plantios realizados durante o verão."
182,"Toda pastagem se torna mais eficiente quando bem estabelecida e bem manejada. Na formação do alfafal é muito importante fazer o controle das plantas invasoras antes do plantio, para evitar sua competição, sobretudo durante a fase de formação da leguminosa. Ocontrole das invasoras pode ser feito com herbicidas pré-emergentes ou preparando o solo com uma aração seguida de gradagem, em curto intervalo de tempo. O uso da área com culturas anuais durante 1 ou 2anos é uma prática eficiente para o controle das plantas invasoras, cuja 109 competição com a alfafa é menor no período de estiagem e de baixas temperaturas. Por essa razão, o plantio dessa forrageira pode ser realizado nessa época do ano, desde que haja facilidade de irrigação. Ouso do controle químico é viável. Entretanto, é preciso verificar se há produtos (herbicidas) registrados no Ministério da Agricultura, Pecuária e Abastecimento (Mapa) para uso em alfafa."
183,"O corte da alfafa deve ser realizado a uma altura de 5cm a 10cm acima do solo. Na época das chuvas, os cortes começam a ser feitos no início da floração (10% das plantas floridas), repetindose a intervalos de, aproximadamente, 25 a 30dias. Na época de estiagem ou de baixas temperaturas, recomendam-se cortes a intervalos de 35 a 40dias, independentemente da floração. O nível de produção e a persistência da espécie estão condicionados ao vigor da rebrota que, por sua vez, depende do manejo adotado, principalmente em relação à adubação e irrigação. Autilização da alfafa sob pastejo, nas condições do Brasil Central, é uma alternativa viável. Opastejo deve ser realizado em faixas, sendo de um dia o período de ocupação dos piquetes, e o de descanso (intervalo de desfolha) variando de 30 a 45dias, dependendo da região e da época do ano. Alotação da pastagem depende de fatores como época do ano, doses de adubação e irrigação, dentre outros."
184,"A alfafa produz uma forragem de alta qualidade, rica em proteína e de alta digestibilidade. Em rebanhos com potencial superior a 20kg de leite/vaca/dia, é importante que a alfafa seja um dos ingredientes da ração dos animais para minimizar o uso de concentrados e aditivos tamponantes, como bicarbonato de sódio, e manter o nível normal de gordura no leite. 110"
185,"Durante o período da seca, na região Central do Brasil, a produção das forrageiras tropicais é baixa, mesmo em condições de irrigação, uma vez que fatores não controláveis, como baixas temperaturas e luminosidade, limitam o crescimento dessas espécies. A alfafa, ao contrário, apresenta boa resposta à irrigação durante o período da seca, tornando-se excelente fonte de alimento volumoso para o rebanho leiteiro. Assim, sob condições de irrigação, aproximadamente 42% da produção anual da alfafa pode ocorrer nessa época do ano."
186,"A suscetibilidade a pragas e doenças é a principal limitação na adaptação da alfafa a um determinado ambiente. Aincidência de doenças e pragas é influenciada pela intensidade de chuvas e pela temperatura, podendo ocorrer nas folhas, caules, raízes e sementes, sendo mais frequente em condições de temperatura e umidade elevadas. Os danos causados pelas pragas e doenças, principalmente nas folhas, provocam aumento na relação caule/folha com reflexos negativos na qualidade da forragem, elevando o teor de fibras e diminuindo a concentração de proteína bruta. Asuscetibilidade a pragas e doenças pode, em muitos casos, ser a principal causa da baixa persistência dessa cultura. Os pulgões ocorrem na maior parte dos países produtores de alfafa e, em consequência da severidade dos danos causados, podem ser considerados as principais pragas da cultura. Asdoenças mais comuns da alfafa, já registradas no Brasil, são a mancha-deleptosferulina, mancha-negra-das-folhas-e-caule, ferrugem e antracnose. No Brasil, de modo geral, os danos causados por doenças e pragas são baixos, não limitando o uso dessa forrageira. Esse fato 111 é, certamente, uma decorrência da pequena extensão da área cultivada com essa forrageira no País."
187,"As principais forrageiras de inverno são a aveia-preta (Avena strigosa), usada principalmente na forma verde, picada e fornecida aos animais no cocho. Aaveia-amarela (Avena sativa) e o azevém anual (Lolium multiflorum) são usados, principalmente, sob pastejo."
188,"As forrageiras de inverno constituem boa opção para alimentar vacas em lactação na região Sudeste do Brasil. Aaveia e o azevém anual são espécies que produzem forragem de alta qualidade, numa época em que as pastagens tropicais pouco contribuem para a alimentação animal, em virtude das condições climáticas adversas. Além disso, o cultivo das forrageiras de inverno ocorre no período de abril a outubro, quando as áreas de baixada estão desocupadas, não havendo, portanto, concorrência por área de plantio com as culturas anuais de verão."
189,Recomenda-se o plantio da aveia ou do azevém anual principalmente nas áreas de leito maior e terraço. Esses segmentos da paisagem são vulgarmente conhecidos como baixadas.
190,"Uma forma prática para qualquer produtor é realizar o teste de germinação de sementes, não só de forrageiras de inverno, mas 112 de todas as espécies. Consiste em semear, em uma caixa de areia, um número conhecido de sementes (em geral, 100sementes). Aprofundidade de semeadura dependerá do tamanho das sementes. Quanto menor a semente, menos profunda deve ser a semeadura. Depois de 10 a 15dias, avalia-se o percentual germinado. Airrigação é feita com cuidado e diariamente."
191,"As densidades de semeadura recomendadas para a aveia e o azevém são de aproximadamente 80kg/ha e 30kg/ha de sementes puras viáveis, respectivamente, e o espaçamento entre linhas o menor possível (de 20cm a 25cm). Pode-se também realizar a semeadura a lanço. É preciso, porém, fazer a incorporação das sementes de aveia ao solo, depois da semeadura a lanço, mas não do azevém anual, por se tratar de sementes muito pequenas."
192,"Exceto para as regiões Norte e Nordeste do Brasil, o período compreendido entre abril e outubro, caracteriza-se por baixa produção de forragem de gramíneas tropicais. Nessa época, o cultivo da aveia-preta ou do azevém anual é uma boa alternativa. Osmelhores meses para o plantio dessas forrageiras de clima temperado são os meses de abril e maio. No mês de junho ainda é possível realizar o plantio dessas forrageiras, porém seu ciclo 113 vegetativo será reduzido, assim como a produção de forragem e o tempo de utilização desse recurso forrageiro. Em regiões onde não ocorrem chuvas durante o período de cultivo da aveia ou do azevém anual (abril a setembro), a irrigação é essencial para garantir boa produção de forragem. Osprimeiros 30dias pós-plantio e após cada corte são os momentos em que a irrigação é mais necessária. Alâmina de água a ser utilizada nas culturas de aveia e azevém, bem como a frequência de irrigação, serão determinadas pela quantidade de água no solo e por meio da capacidade de campo do mesmo."
193,"Na região Sudeste, recomenda-se o plantio dessas forrageiras todos os anos, durante a época da seca, de acordo com um programa de melhor aproveitamento das áreas de plantio de milho, arroz, etc. (culturas anuais de verão), que ficam desocupadas na entressafra dessas culturas. Além disso, deve-se considerar que nessa região as plantas invasoras, e mesmo outras espécies forrageiras não desejáveis, são muito agressivas, impossibilitando a ressemeadura natural, principalmente do azevém anual. Na região Sul do Brasil, pelo contrário, a ressemeadura natural do azevém anual é prática de sucesso entre os produtores rurais que, dessa forma, não precisam fazer o plantio anual dessa forrageira."
194,"Sim. Aaveia tem crescimento inicial mais rápido que o azevém anual. No entanto, o azevém anual encerra seu ciclo vegetativo posteriormente ao ciclo da aveia. Diante disso, a mistura da aveia e do azevém anual garante um período de pastejo mais longo, com o primeiro pastejo sendo antecipado pela presença da 114 aveia e o último sendo prolongado pela presença do azevém anual."
195,"Numa pastagem bem formada e com manejo adequado, o primeiro pastejo da aveia ocorre por volta de 35 a 40dias após o plantio e se encerra no início de setembro. Para o azevém anual, o primeiro pastejo ocorre por volta de 60dias após o plantio e termina por volta da metade de outubro. Se o cultivo da aveia e do azevém for de forma consorciada, o que é recomendado, o período de utilização (tanto para corte como para pastejo) inicia-se de 35 a 40dias após o plantio, por causa da presença da aveia, e termina em meados do mês de outubro, pelo azevém, principalmente para a região Sudeste."
196,"Podem-se cultivar, no período do verão, o arroz, o milho ou o sorgo (para ensilagem ou grãos), a soja e o feijão, entre outras, dependendo do interesse do produtor. Após a colheita dessas culturas, realiza-se o plantio da aveia ou do azevém, em sistema de cultivo puro ou consorciado, aproveitando a desocupação temporária da área."
197,"As produções de forragem dessas espécies dependem do estabelecimento e manejo a que são submetidas. Em média, elas produzem de 35t/ha a 40t/ha de matéria verde, o que corresponde a cerca de 5t/ha a 7t/ha de matéria seca. 115"
198,"A capacidade de suporte dessas espécies depende do manejo a que são submetidas. Considerando-se a utilização de forma adequada, a taxa de lotação dessas forrageiras vai variar de 3vacas/ha, quando o acesso diário dos animais a essas pastagens for de 24horas, e a 6vacas/ha, quando o tempo de permanência dos animais nessas pastagens for de apenas 2h por dia. Nesse último caso, as forrageiras funcionam como um banco de proteína, o que demanda outra fonte de alimento para os animais para atender as exigências dos mesmos. De maneira semelhante, a produção de leite é uma função do tempo de pastejo. Vacas que se alimentam exclusivamente de aveia ou azevém podem produzir até 20kg de leite/dia. Se a forrageira de inverno estiver sendo usada como um banco de proteína, as vacas podem produzir de 9kg a 10kg de leite/dia, sem necessidade de concentrado, já que essas forrageiras produzem forragem de alta qualidade."
199,"Para a formação de capineiras, o solo deve ter estrutura leve e boa fertilidade. Sua localização em relação aos estábulos é muito importante: quanto mais próxima, mais fácil é a distribuição de dejetos orgânicos, e mais barato é o transporte da forragem cortada para fornecer aos animais no cocho. Normalmente, são utilizados os solos localizados no segmento da paisagem conhecido como terraço (área plana da propriedade que não está sujeita a inundação). Nesse segmento, via de regra, estão localizados a moradia do proprietário, o curral, a sala de ordenha e as principais culturas produzidas na propriedade. Assim, é nesse local que deve ser implantada a capineira, pois 116 facilita o transporte da forragem colhida. Também, é o terraço que apresenta, em geral, os solos mais férteis em uma propriedade."
200,"A forrageira mais usada para a formação de capineiras é o capim-elefante, que possui mais de 100 ecotipos, ou cultivares. Oscapins Venezuela, Guatemala e Colonião também são utilizados, porém, em menor escala. O capim-elefante é o mais indicado para a formação de capineiras, não só pela quantidade como também pela qualidade da forragem produzida. Existem muitas cultivares de capimelefante, como Napier, Cameroon, Mineiro, Roxo, Taiwan, etc. Entretanto, a produtividade e a qualidade da forragem estão muito mais relacionadas com o manejo adequado do que com a cultivar utilizada. Sob manejo inadequado, a cultivar Cameroon é a que apresenta maior queda na qualidade da forragem, com o avanço da idade. A Embrapa Gado de Leite, em parceria com a Nestlé e a Cooperativa Agropecuária Regional de Montes Claros Ltda. (Coopagro), lançou, em 1996, a cultivar Pioneiro, indicada para pastejo. Essa cultivar não deve ser recomendada para capineiras, em virtude de sua facilidade de tombamento, que dificulta o corte da forrageira."
201,"O plantio de capim-elefante e guandu na mesma área apresenta algumas dificuldades:  O capim-elefante é perene, ao passo que o guandu (Cajanus cajan) é bi ou trianual.  O manejo de corte das duas espécies é diferente. 117  No entanto, essas espécies podem ser cultivadas em áreas contíguas e utilizadas no arraçoamento dos animais. Após o corte dessas duas forrageiras, é preciso picá-las e, em seguida, fazer a mistura e fornecer aos animais no cocho."
202,"As quantidades de nutrientes extraídas, por ano, de uma capineira de capim-elefante estão diretamente relacionadas à sua produção. Para uma produção de 150t/ha/ano de matéria verde, a extração média de nitrogênio, fósforo, potássio, cálcio e magnésio é de 338, 72, 564, 108 e 71kg/ha/ano, respectivamente."
203,"O corte da capineira deve ser sempre baixo, rente ao solo. Contudo, a rebrota da capineira, quando cortada a essa altura, depende de condições propícias para seu crescimento, como umidade e fertilidade do solo. Aadubação orgânica favorece essas condições. Ocorte baixo facilita a entrada de carroças e carretas na área, para recolher o capim ou distribuir esterco, e favorece a brotação mais vigorosa. Ao final da colheita mecânica do capim-elefante, verifica"
204,"O desgaste da colhedeira ocorre, em parte, por se cortar capim excessivamente fibroso. Ocorte do capim mais novo reduz sensivelmente esse problema. 118 Qual a vantagem do capim-elefante cortado num dia e"
205,"Nutricionalmente, não há vantagem. Ocorte do capimelefante em dias alternados é feito para reduzir ou racionalizar o uso da mão de obra, especialmente aos domingos e feriados. No caso da cana-de-açúcar, pode-se deixá-la cortada e mantida à sombra por no máximo 3dias. Mas a cana deve ser picada e colocada no cocho diariamente. Não é aconselhável picar a cana e deixá-la amontoada, pois irá fermentar e causar problemas digestivos aos animais."
206,"Não há como aproveitar o material da capineira afetado pela geada. Nas regiões sujeitas à geada, recomenda-se evitar o plantio do capim-elefante nas áreas mais baixas da propriedade. Aescolha do local da capineira é muito importante."
207,"O mais indicado é cortar o excedente e fornecê-lo a outras categorias de animais que não sejam vacas em lactação. Pode-se, também, cortá-lo e distribuí-lo na própria capineira para servir de cobertura morta e, finalmente, de adubo orgânico. Também poderá ser pastejado, ou fazer silagem pré-secada. Deve-se evitar a queimada. Pode-se ainda ensilar a sobra das forrageiras tropicais, bastando o cuidado de se utilizar as técnicas mais adequadas a cada caso, bem como um aditivo biológico próprio para gramíneas tropicais para melhorar a fermentação. 119"
208,"Seis cortes por ano da capineira não interferem em sua vida útil. Oque pode interferir negativamente é o número de cortes excessivos, realizados com muita frequência, sem um manejo adequado da adubação. Quanto maior o número de cortes, maior será a retirada de nutrientes do solo e maior também a necessidade de reposição de nutrientes. Deve-se lembrar que a adubação deve ser feita após cada corte, na época em que chove mais."
209,"Quando a produtividade da capineira diminui acentuadamente, é conveniente fazer sua recuperação com aração e gradagem, precedidas de adubação orgânica e química. Essa recuperação só deve ser realizada no período das chuvas. Se possível, e com base em análise do solo, deve-se fazer a calagem."
210,"A manutenção de uma capineira em boas condições envolve a adoção de uma série de práticas, que vão desde a sua formação até o manejo e utilização. Normalmente, o valor nutritivo do capim decresce mais rapidamente após 60dias do último corte, principalmente no caso da cultivar Cameroon. Dessa maneira, recomenda-se cortar a capineira com 1,80m de altura, ou com 45 a 50dias de idade (para aproveitar a quantidade e a qualidade da capineira), mas no máximo aos 60dias de rebrota, efetuando cortes baixos, até cerca 5cm acima do solo. Ocorte promove a retirada de nutrientes da área de produção, o que justifica as adubações de reposição. Capineiras bem adubadas e manejadas dispensam arações e gradagens com o objetivo de renová-las. 120"
211,"Uma pastagem deve ser constituída por espécie forrageira de elevado potencial de produção de forragem, de boa qualidade e palatabilidade, e adaptada às condições locais de solo e clima. Esses aspectos, aliados ao bom estabelecimento e manejo, garantem uniformidade na população das plantas forrageiras em toda a área, cobrindo todo o solo e impedindo, assim, a existência de espaços vazios, que podem sofrer a ação da erosão e/ou ser preenchidos por plantas invasoras."
212,"Plantar vários tipos de capim no mesmo piquete pode ocasionar problemas de manejo, principalmente se houver dife­renças entre eles de aceitabilidade pelos animais e de adaptação ao local. Nessas condições, provavelmente haverá dominância de um dos tipos de capim. Omenos palatável, o mais adaptado ao local ou o que melhor responder a mudanças na fertilidade do solo (caso haja adubação da pastagem) será dominante. O mais recomendável é plantar vários tipos de capim na propriedade, de acordo com as condições de solo, topografia e objetivo da propriedade, porém, cada espécie constituindo pastagem distinta."
213,"A taxa de semeadura depende do tamanho da semente, do valor cultural e do preparo do solo. Afertilidade do solo também pode afetar a germinação das sementes e, especialmente, o estabelecimento das plântulas. Solo com maior teor de matéria orgânica, por exemplo, retém mais umidade, favorecendo a germinação das 121 sementes e o crescimento das plântulas, principalmente no caso de ocorrência de veranicos. Assim, no caso de a mesma taxa de semeadura ser aplicada em solos férteis e deficientes, a formação da pastagem será mais rápida em solos férteis do que em solos que apresentam deficiências nutricionais. Para reduzir os efeitos negativos da competição entre forrageira e plantas invasoras, na fase de formação da pastagem, recomenda-se não diminuir as taxas de semeadura sugeridas pela literatura. Com esse procedimento, evita-se a necessidade do replantio, o que onera os custos de formação da pastagem."
214,"Muitas sementes de forrageiras podem passar pelo trato digestivo dos animais e germinar nas pastagens. Observa-se esse fato, naturalmente, com sementes de braquiária e de leguminosas. Contudo, esse não é o método mais eficiente de distribuição de sementes nas pastagens, esse processo é mais usado para a distribuição de sementes de leguminosas em pastagens já estabelecidas."
215,"Considerando-se que os fosfatos naturais são mais reativos em meio ácido, o fosfato de Araxá deve ser incorporado ao solo para aumentar sua solubilização. Adistribuição do fosfato natural é feita antes do plantio da forrageira e a uma profundidade semelhante à da calagem, portanto, a uma profundidade maior do que a recomendada para a semeadura da forrageira. Assim, essa prática não é recomendada."
216,"Os fatores mais importantes para a formação de pastagem são: 122  Escolha da espécie – Essa deve estar adaptada às condições de clima e solo da região.  Correção da acidez e da fertilidade – Essa correção se dá segundo a análise química do solo e da exigência nutricional da espécie forrageira.  Preparo do solo – É importante que a aração e a gradagem sejam realizadas aproximadamente 60dias antes do plantio. Durante esse período, haverá germinação de muitas sementes de plantas invasoras, que podem ser erradicadas por outra gradagem a ser realizada na véspera do plantio. Dessa forma, espera-se controlar, em parte, as plantas invasoras que comprometem o estabelecimento da forrageira.  Densidade de semeadura – Como a qualidade das sementes encontradas no mercado brasileiro é baixa, principalmente as de forrageiras tropicais, é necessário obter, antecipadamente, o valor cultural da semente para calcular a densidade de semeadura a ser utilizada.  Método de plantio – A distribuição das sementes pode ser feita em sulco ou a lanço. Adistribuição a lanço bem realizada pode resultar em maior rapidez na cobertura do solo. É muito importante que as sementes sejam incorporadas ao solo, e a profundidade depende do tamanho das sementes. Em geral, sementes de plantas forrageiras, quase sempre de pequeno tamanho, devem ser incorporadas superficialmente, não podendo ultrapassar 4cm de profundidade. Acompactação das sementes no solo melhora a germinação e o desenvolvimento posterior das plântulas. No caso de sementes pequenas, esse procedimento pode substituir a incorporação.  Época de plantio – Para garantir o rápido estabelecimento da pastagem, o plantio deve ser feito na época das chuvas. Contudo, o excesso de umidade no solo ou a ocorrência de veranico, nessa fase, pode prejudicar a formação da pastagem. 123"
217,"Em áreas de morro, onde são grandes os riscos de erosão causada pelas chuvas, alguns aspectos devem ser considerados no programa de formação e recuperação de pastagens. Um deles refere-se à escolha da espécie forrageira, que deve ter as características de rápido crescimento inicial e boa cobertura vegetal do solo, a fim de protegê-lo dos efeitos danosos da erosão. Outro aspecto a ser considerado é o preparo do solo, que deve envolver práticas de conservação pela manutenção parcial da vegetação existente. Assim, recomenda-se aração, gradagem e plantio da forrageira em faixas preparadas em nível, alternadas com faixas não preparadas. Alargura das faixas, preparada e não preparada, depende da declividade da área. Quanto mais declivosa a área, menor a largura da faixa preparada e maior a largura da faixa não preparada. Em áreas de declividade bem acentuada, pode-se fazer o plantio da forrageira tanto em sulcos como em covas, também preparados em nível. Deve-se considerar, também, a necessidade de calagem e de adubação de acordo com a análise química do solo. Quando plantar a forrageira associada ao milho ou sorgo"
218,"Os plantios de capins e de milho ou sorgo, em associação, devem ser realizados ao mesmo tempo, uma vez que isso reduz a competição das espécies por luminosidade, fator importante para o estabelecimento das plantas. Essa prática também reduz os custos de formação da pastagem, em virtude, principalmente, do melhor aproveitamento dos fertilizantes, da mão de obra e da energia necessários para o preparo do solo, plantio e fertilização. O corte do milho ou do sorgo deve ser feito quando essas culturas atingirem o ponto ideal para ensilar, sem preocupação com o desenvolvimento da forrageira. Depois da retirada do milho 124 ou do sorgo da área (ensilagem), a gramínea forrageira completará seu estabelecimento, garantindo a formação da pastagem mais rapidamente e a menor custo. Atualmente, essa associação de uma espécie forrageira com uma cultura para ser utilizada no processo de ensilagem, ou mesmo para a produção de grãos, é conhecida como integração lavoura-pecuária (iLP). Para o plantio dessas duas culturas é necessário que seja feita a adubação de plantio para o milho ou sorgo e para a cultura forrageira."
219,"Todas essas espécies podem ser manejadas sob pastejo contínuo, desde que mantida boa disponibilidade de forragem ao longo de todo o ano, evitando sempre o superpastejo. Opastejo rotativo também pode ser usado no manejo dessas forrageiras, obtendo-se também bons resultados."
220,"Sim. Com espécies que têm potencial para produzir forragem de alta qualidade, o uso de bancos de proteínas (BP) na alimentação de vacas em lactação é viável. OBP é feito mediante o cultivo de uma leguminosa, ou gramíneas de clima temperado, e seu uso é destinado ao pastejo. Em geral, recomenda-se o plantio entre 20% a 30% da área de pastagem estabelecida com gramínea. Após o estabelecimento do BP, esse é pastejado pelos animais por um período de 2 a 3horas por dia."
221,"A alfafa (Medicago sativa), o guandu (Cajanus cajan) e as forrageiras de inverno, principalmente a aveia (Avena sp.) e o 125 azevém anual (Lolium multiflorum), são espécies indicadas para a formação de bancos de proteína para alimentar vacas em lactação, principalmente na época da seca das regiões Sudeste e Sul do País. Essa tecnologia, quando bem aplicada, pode tornar os produtores rurais menos dependentes da necessidade de conservação de forragem e da aquisição de concentrados. Em regiões em que se adapta com facilidade, também a leucena (Lecaena leucocephala) constitui boa opção para formação de bancos de proteína."
222,"Por motivo de exigência nutricional, vacas em lactação devem ser manejadas em pastagens cultivadas, em rotação ou mesmo em pastejo contínuo, dependendo da espécie forrageira e do nível de intensificação da exploração. As pastagens nativas devem ser destinadas às categorias menos exigentes, como animais em crescimento, vacas secas, e, normalmente, sob pastejo contínuo. Independentemente da espécie forrageira, a rotação de pastagem deve ser feita antes da completa remoção das folhas pelos animais. Aquantidade de material verde remanescente na planta após o pastejo determinará o ritmo de crescimento do pasto. Adesfolhação drástica exigirá mais tempo para que a pastagem se recupere e permita novo pastejo."
