source;target;Direction;TypeOf
vaca;parto;Direct;TypicalOf
raça;gir;Inverse;IsA
raça;holandês;Inverse;IsA
água;salobrar;Inverse;Affects
doença;animal;Direct;Affects
planta;solo;Direct;AtLocation
esterco;líquido;Inverse;TypeOf
ordenha;animal;Direct;UsedIn
tratamento;sistema;Direct;Subject
lote;animal;Direct;Measures
água;temperatura;Direct;HasProperty
ordenha;teto;Inverse;UsedFor
raça;zebuína;Inverse;IsA
acasalamento;animal;Direct;TypicalOf
solo;cultura;Direct;UsedFor
raça;puro;Inverse;TypeOf
tratamento;antibiótico;Inverse;UsedFor
frasco;térmico;Inverse;TypeOf
tratamento;resíduo;Direct;UsedIn
mão;obra;Compose;Composite
animal;adulto;Direct;HasProperty
lactação;parto;Inverse;Causes
organismo;animal;Direct;PartOf
gordura;proteína;Direct;SimilarTo
fator;água;Direct;Measures
pastagem;brachiaria;Inverse;UsedFor
bezerro;ração;Inverse;UsedBy
vaca;gordo;Direct;HasProperty
água;tóxico;Inverse;TypeOf
vacina;infecção;Direct;UsedAgainst
gramínea;leguminoso;Inverse;TypeOf
grande;animal;Direct;Measures
bezerro;mamar;Inverse;TypicalOf
vaca;magro;Direct;HasProperty
semente;germinação;Inverse;TypicalOf
alimento;volumoso;Inverse;IsA
grande;instalação;Direct;Measures
pastagem;gramínea;Inverse;UsedFor
samambaia;animal;Direct;Affects
colher;frasco;Inverse;UsedFor
mosca;espécie;Direct;HasProperty
cerca;animal;Direct;UsedAgainst
temperatura;termômetro;Inverse;Measures
gestação;vaca;Direct;TypicalOf
alimento;digerir;Direct;UsedFor
vaca;maternidade;Inverse;TypicalOf
água;aquífero;Direct;AtLocation
rebanho;grande;Inverse;Measures
célula;somático;Inverse;TypeOf
água;excreção;Inverse;Contains
gramínea;tropical;Inverse;TypeOf
sistema;ordenha;Inverse;Subject
forrageiro;espécie;Direct;HasProperty
teor;água;Direct;Measures
chuva;forrageira;Direct;Affects
animal;pastejo;Inverse;UsedBy
frasco;caixa;Inverse;Contains
carrapaticida;animal;Direct;UsedIn
samambaia;organismo;Direct;Affects
chifre;gene;Inverse;Affects
água;estrôncio;Inverse;Contains
tratamento;líquido;Inverse;UsedFor
brachiaria;brizanthar;Direct;SimilarTo
dieta;água;Inverse;UsedFor
samambaia;pastagem;Inverse;AtLocation
cromossomo;gene;Inverse;Contains
samambaia;infestar;Inverse;TypicalOf
brachiaria;decumbem;Direct;SimilarTo
cruzamento;raça;Inverse;UsedFor
fase;lactação;Inverse;IsA
vaca;emagrecer;Inverse;Affects
mineral;diluir;Inverse;UsedIn
estresse;térmico;Inverse;TypeOf
mineral;concentrado;Inverse;UsedIn
animal;bebedouro;Inverse;UsedBy
temperatura;bulbo;Inverse;HasProperty
proteína;digestão;Direct;Affects
quente;água;Inverse;HasProperty
quarto;antibiótico;Inverse;UsedIn
novilho;vaca;Direct;SimilarTo
espécie;animal;Inverse;HasProperty
cultura;sistema;Direct;Subject
resíduo;orgânico;Inverse;TypeOf
medida;medicamento;Direct;Measures
enzima;proteína;Direct;SimilarTo
hectare;piquete;Direct;Measures
morte;animal;Direct;Affects
solo;fértil;Direct;HasProperty
animais;vaca;Inverse;IsA
genético;material;Inverse Compose;Composite
água;consumir;Direct;UsedFor
solo;calagem;Inverse;UsedIn
bezerro;desmame;Inverse;Affects
vacina;aureu;Direct;UsedAgainst
mineral;vitamina;Direct;SimilarTo
análise;solo;Direct;UsedIn
vaca;instalação;Direct;AtLocation
samambaia;efeito;Direct;Causes
limpo;água;Inverse;UsedFor
frasco;análise;Direct;UsedFor
esterco;cama;Inverse Compose;Composite
bezerro;cerca;Inverse;UsedAgainst
leguminoso;espécie;Direct;HasProperty
cultura;forrageira;Inverse;TypeOf
animal;doente;Inverse;Affects
teto;medicamento;Inverse;UsedIn
pastejo;rotativo;Inverse;TypeOf
raça;mestiço;Inverse;TypeOf
pastagem;fertilizante;Inverse;UsedIn
guzer;raça;Inverse;IsA
semente;plântula;Inverse;CreatedBy
pastagem;invasor;Inverse;Affects
animal;biomedicina;Direct;Subject
embrião;vitro;Inverse;TypeOf
bezerro;intestino;Direct;PartOf
lote;grande;Inverse;Measures
gir;animal;Direct;IsA
cloreto;água;Inverse;Contains
rebanho;pastagem;Direct;AtLocation
adubo;orgânico;Inverse;TypeOf
espécie;braquiária;Inverse;IsA
planta;samambaia;Inverse;IsA
bezerro;sonda;Inverse;UsedIn
líquido;ruminal;Inverse;TypeOf
praga;cultura;Direct;Affects
carrapaticida;laboratório;Direct;CreatedBy
genético;transgênico;Inverse;RelatedTo
animal;berne;Inverse;Affects
samambaia;solo;Direct;AtLocation
preparar;solo;Direct;UsedIn
pequeno;partícula;Direct;Measures
seco;água;Not;Contains
animal;água;Inverse;UsedBy
leiteiro;gir;Inverse Compose;Composite
genético;planta;Inverse;HasProperty
animais;pastagem;Direct;AtLocation
solo;veranico;Inverse;Affects
pasto;sistema;Direct;Subject
grande;abrigo;Direct;Measures
infecção;rebanho;Direct;Affects
mosca;berne;Direct;Produces
samambaia;irritação;Direct;Causes
pastagem;adubar;Inverse;Affects
mamário;quarto;Inverse;PartOf
mineral;selênio;Inverse;IsA
cigarra;ataque;Direct;Causes
sabor;butírico;Inverse;TypeOf
mineral;dieta;Direct;UsedFor
sistema;irrigação;Inverse;Subject
forrageira;inverno;Inverse;TypeOf
raça;tricros;Inverse;TypeOf
samambaia;aquilinum;Inverse;TypeOf
animal;homeopático;Inverse;UsedIn
medicamento;vaca;Direct;UsedIn
rebanho;mestiço;Inverse;TypeOf
superpastejo;animal;Inverse;Causes
raça;leiteiro;Inverse;HasProperty
fêmea;macho;Direct;SimilarTo
orgânico;decomposição;Inverse;Affects
taxa;lactação;Inverse;Subject
vaca;água;Inverse;UsedBy
leguminoso;nitrogênio;Inverse;UsedBy
método;plantio;Inverse;Subject
leiteiro;rebanho;Inverse;TypeOf
glândula;mamário;Inverse;TypeOf
mineral;suplementar;Direct;UsedFor
vacina;cooler;Inverse;Contains
concentração;salinidade;Direct;Measures
parto;dieta;Direct;Affects
clonagem;animal;Inverse;Subject
bezerro;brinco;Inverse;UsedBy
brachiaria;ruziziensil;Compose;Composite
vaca;gir;Inverse;TypeOf
leguminoso;pastagem;Direct;AtLocation
bezerro;consumir;Inverse;TypicalOf
esterco;raspar;Inverse;UsedIn
clínico;subclínico;Direct;SimilarTo
infecção;coliforme;Inverse;Causes
água;forragem;Direct;Affects
ração;desmamar;Direct;UsedFor
bezerro;abrigo;Direct;AtLocation
heterose;vaca;Direct;Affects
heterose;holandês;Inverse;UsedFor
animais;mestiço;Inverse;TypeOf
febre;animal;Direct;Affects
corporal;fisiológico;Direct;SimilarTo
subnutrição;vaca;Direct;Affects
vaca;útero;Inverse;PartOf
germinação;plântula;Direct;Produces
população;microbiano;Compose;Composite
célula;infectar;Inverse;Affects
bactéria;coliforme;Inverse;IsA
hormônio;reprodutivo;Direct;TypeOf
chuva;pastagem;Direct;Affects
chifre;mocho;Not;Contains
larva;mosca;Inverse;Produces
vaca;pesar;Inverse;UsedIn
cruzamento;puro;Inverse;TypeOf
