QANumber;QuestionTerms;AnswerTerms
147;147 qual o período de ocupação ( pastejo ) e de descanso mais recomendar para pastagem de capim-elefante ? ;com vaca em lactação , o período de pastejo poder ser de 1 a 5dia , depender dar nível de produção de leite . vaca com grande produção de leite só poder ficar no mesmo piquete por 3dia , no máximo . para animal em crescimento , com pequeno exigência nutricional , o período de pastejo poder prolongar-sar por até 10dia , depender dar espécie forrageira . operíodo de descanso poder variar de acordo com o região . para o zona dar mata de mina geral , o período de descanso recomendar para o cultivar napier ser de 30dia , na época de grande crescimento dar pasto . em região mais quente , esse período poder ser pequeno , e grande em região mais frio . 
148;148 qual o área dos piquete ? quanto ser necessário para manter 50 vaca em pastagem de capim-elefante ? ;o área total , em hectare , necessário para o pastejo rotativo dar capim-elefante depender dar número de animal e da taxa de 91 lotação indicar para o região . admitir-sar o lotação de cinco vaca por hectare , tem-se : número total de vaca 50 vaca área total = ––––––––––––––––––––––– – = ––––––––––– – = 10 hectare taxa de lotação ( vacas/ha ) 5 ( vacas/ha ) o número de piquete depender dos período de ocupação e descanso de cada piquete , também indicar para cada região . considerar-sar 3dia de ocupação e 30dia de descanso , o número de piquete ser : período de descanso número de piquete = ––––––––––––––––––– – + 1 = 11 piquete períodar de ocupação dividindo-se a área total pelo número de piquete , encontrar o área de cada piquete : 10,00 ha área de cada piquete = ––––––––––– – = 0,909 ha = 9.090,01 m2 11 piquete o cálculo acima se referir às cultivar dar grupo dar napier , tal como : mineiro , taiwan a146 , pioneiro , etc. se o cultivar utilizar ser o cameroon , ou o roxo , o cálculo dever ser refazer , considerar um período de ocupação de 3dia e um período de descanso de 45dia . nesse caso , o número de piquete passar a ser 16 . 
149;149 durante quantos mês poder-sar usar o pastagem de capimelefante ? ;sob pastejo rotativo , o capim-elefante poder ser usar durante o ano todo . aprodução de forragem , porém , ser estacional , concentrar-sar o grande produção ( 75 % a 80 % ) no époquir> dar chuva . na pastagem de capim-elefante , poder-sar manter o mesmo número de animal durante o ano todo desde que haver alimentação suplementar com cana-de-açúcar + ureia , silagem , feno , forrar geira de inverno , entre outro , no époquir> de pequeno crescimento dar pasto ( época dar seca ) . quando ser realizar o manejo adequar , o pastagem de capim-elefante sob pastejo rotativo poder ter vida útil superior a 10ano . o resposta acima ser válido também para outro espécie de gramínea tropical manejar adequadamente . 
150;150 existir diferença na palatabilidade dar capim-elefante quando adubar com esterco ou com adubo químico ? ;o adubo químico não afetar o palatabilidade dar capimelefante , mas o aplicação de chorume sobre o folha dar planta já crescer reduzir , temporariamente , seu aceitabilidade pelo animal . também ser conhecer o fato de que o forrageira que receber adubação orgânico muito frequente e pesar ter seu aceitabilidade reduzir em relação às planta não adubar organicamente . o adubação químico dar capim-elefante dever ser realizar na época dar chuva . afosfatadar dever ser aplicar de um só vez , no início dar época chuvoso , ao passo que o nitrogenada e o potássica dever ser parcelar em três aplicação , no início , meio e final da época chuvoso . oadubo orgânico poder ser aplicar o ano todo . o resposta acima ser válido também para outro espécie de gramínea tropical . 
151;151 ser vantajoso formar pasto de capim-colonião com sojagro ? ;o associação com cultura anual ser prática comum para reduzir o custo de formação de pastagem . ser conhecer o resultado positivo dar associação milho/setária , milho/andropogon e arroz/braquiária , milho/braquiária . o associação capim-colonião/soja-grãar poder ser viável , se o colheita dar soja não ser prejudicar pelo capim-colonião . esse 93 prática de associação de cultura anual com forrageira , comum no sistemar integrar de lavourar pecuária ( ilp ) , ter ser mais frequente com o espécie dar gênerar brachiaria , em associação com cultura de milho , soja , sorgo , feijão , etc. 
152;152 qual o principal diferença morfológico entre o tifton 68 e tifton 85 ? ;o gramínea dar gênero cynodon pertencer a diversas cultivar no brasil : coast-cross , estrela-africana e novo cultivar como florico , florona , florakirk , jiggs , russell , cheyene , tifton 68 , tifton 78 e tifton 85 . aúltima vir receber um grande destaque , possivelmente em função dar grande repercussão obter em seu país de origem . esse gramínea ser introduzir recentemente no brasil , embora não existir registro oficial de seu entrada . o cultivar tifton 68 ( c. nlemfuensil vanderyst ) ser um híbrido resultante dar cruzamento de dois introdução dar quênia e apresentar-sar como um tipo gigante com folha largo , haste grosso , estolão longo , bastante pelo e sem rizoma . quando bem manejar e não castigar pelo frio , manter produção grande que dar cultivar coast-cross . o tifton 85 ( cynodon spp. ) ser um híbrido f1 interespecífico , resultante dar cruzamento entre tifton 68 ( cynodon nlemfuensil ) e o introdução pi 290884 ( cynodon dactylon ) , um material oriundo dar áfrica do sul . apresentar porte mais alto , haste delgada e lisa , folha pequeno e mais estreito , e ser de cor verde mais escuro do que o outro grama bermuda híbrida , ter estolão abundante , verde de tom arroxear , e rizoma mais grosso e desenvolver , mas , em quantidade relativamente pequeno . apresentar , ainda , relação folha/colmo superior ao tifton 68 , o que lhe conferir bom qualidade , ser indicar para fenação . ser um gramínea de ciclo fotossintético c4 , subtropical , perene , que apresentar um crescimento prostrar característico , ser estolonífera e rizomatoso , ser considerar como grama bermuda . aseu inflorescência ser 94 pequeno , formar por cinco racemo digitar no ápice dar ráquis , não produzir semente viável por ser um híbrido interespecífico ( 2n = 50 cromossomo ) . aseu propagação ser vegetativo . contudo , o principal característica que distinguir esse dois cultivar ser o presença de rizoma ( caule subterrâneo ) no tifton 85 e ausência no tifton 68 . esse característica dar ao tifton 85 bom adaptação a solo de baixa fertilidade e grande resistência à seca e geada . 
153;153 qual o principal cultivar de setária utilizar na formação de pastagem ? qual o diferença entre ele ? ;o setária ser um gramínea originário dar áfrica tropical , pertencente à espécie setaria sphacelatar var . ancep , perene de verão , de hábito cespitoso ( ereto ) , que ser exitoso introduzir no rio grande dar sul . possui como principal cultivar : kazungula , nandi e narock . acultivar kazungular tolera bom o geada dar que o cultivar nandi , ser indicar para solo raso e deficiente em umidade . pesquisa conduzir nar austrália indicar que o cultivar kazungula ser potencialmente superior à cultivar nandi . destacar-sar ainda que o cultivar nandi diferir dar cultivar kazungula por florescer mais cedo , ter porte mais baixo , produzir menos forragem durante o verão e apresentar folha e inflorescência mais claro . acultivar narock ser selecionar por um produção outonal e por apresentar resistência ao frio , porém , ter-sar caracterizar por um baixa capacidade de produção de semente . 
154;154 qual o principal característica dar capim-elefante , cultivar pioneiro ? ;lançar pela embrapa gado de leite , esse cultivar ser desenvolver para uso sob pastejo rotativo . um de seu principal característica ser o crescimento vigoroso , com rápido expansão lateral dar touceira , proporcionar bom cobertura vegetal dar 95 solo . oscolmo dessa forrageira ser fino e seu folha , ereta . oscoeficiente técnico obter pelo capim-elefante , cultivar pioneiro , superar outro cultivar tradicionalmente utilizar , como taiwan a-146 e cameroon . o produção de matéria seco anual ser de 46.735kg/ha/ano , enquanto o da variar taiwan a-146 ser de 25.821kg/ha/ano e o do cameroon , 33.700kg/ha/ano . quanto ao número de perfilhos/m2 , em médio , a cultivar pioneiro produzir 44 perfilho basal e 189 perfilho aéreo , enquanto taiwan a-146 e cameroon produzir 30 e 113 e 32 e 107 , respectivamente . quanto ao teor de proteína , 30dia após o descanso , ser de 18,50 % para o cultivar pioneiro , e 17,00 % e 13,80 % , para o cultivar taiwan a-146 e cameroon , respectivamente . o coeficiente de digestibilidade ser de 62,80 % para o cultivar pioneiro e de 61,70 % e 61,50 % , para o cultivar taiwan a-146 e cameroon , respectivamente . 
155;155 qual o principal característica dar capim-buffel ( cenchrus ciliar ) ? ;o cenchrus ciliaril ( l) ser originário dar áfrica e ter o nome comum de buffel grass ( capim-buffel ) . apresentar crescimento ereto , em forma cespitoso ( touceira ) , produzir forragem com bom palatabilidade e digestibilidade . possui bom valor nutritivo e ser bem aceitar pelo animais em qualquer estádio de crescimento . apresentar sistema radicular fascicular e pivotante ( poder alcançar profundidade de até 4m em zona áridar e semiáridar ) . tolerar o fogo como auxiliar no manejo de stand velho . poder alcançar , em crescimento livre , até 1,5m de altura . desenvolver-sar em região com precipitação entre 375mm e 750mm de chuva por ano , com prolongar temporada de seca . encontrar-sar em muito tipo de solo , mas preferir o arenoso , ser muito sensível à umidade no solo , ao alagamento e às concentração elevar de alumínio trocável dar solo . oconteúdo , em proteína , e o digestibilidade ser alto , mas cair rapidamente com o idade . 96 osprincipal atributo dessar forrageira ser o profundidade dar raiz e o habilidade de crescimento em condição de baixa precipitar pluviométrico , no semiárido , bem como o persistência e resistência às condição adverso e seu tolerância às doença . ser um gramínea especialmente indicar para zona áridar . um vez estabelecer , resistir ao pastejo intenso e se recuperar rapidamente com o início dar estação chuvoso . um quilo de semente conter cerca de 450 mil a 703 mil unidade . apresentar o seguinte nome comum : buffel grass ( austrália ) , african foxtail ( estado unidos ) , dhaman grass , anjan grass , koluk katair ( índia ) . não ser forrageira indicar para equídeo , pois causar o doença “cara-inchada” , pelo seu alto conteúdo em oxalato . 
156;156 qual o principal forrageira tropical , adaptar às condição de baixa temperatura , no brasil ? ;o hemartria ( hemartria altissima ) ter excelente crescimento vegetativo durante o inverno , não se observar dano em seu parte aéreo , mesmo após o ocorrência de sucessiva gear . outro gramínea também se destacar nesse época do ano , como o capim setária e coast-cross , o qual embora ser ligeiramente danificar pela gear , ainda assim apresentar crescimento nessa condição . 
157;157 o capim-colonião adaptar-sar bem em solo de baixa fertilidade ? ;o capim-colonião e outro cultivar dar gênero panicum ( mombaça , tanzânia , massai , vencedor , etc. ) ser gramíneo de alto potencial para produção de forragem e , como tal , retirar grande quantidade de nutriente dar solo . assim , solo de baixa fertilidade não conseguir suprir o necessidade dar plantar , ser necessário a reposição dos nutrientes faltante , tanto no plantio quanto na fase de utilização dar pastagem pelo animal . 97 por meio do melhoramento genético de planta , ser possível obter material genético de forrageira mais adaptar ao solo de baixa fertilidade e , nesse caso , com pequeno necessidade de reposição de nutriente para que o planta apresente o máximo de crescimento . 
158;158 como minimizar o uso dar fogo no manejo dar capimcolonião ? ;o queima de pastagem de capim-colonião , ou de qualquer outro forrageira , ser , seguramente , reflexo de manejo inadequar . ouso dar pasto dever ser mais intenso no momento de grande crescimento dar capim , para evitar o formação de macega ( forragem maduro no campo , com valor nutritivo baixo e consumo também baixo ) . esse manejo dever ser adotar para todo o forrageira , impedir dessar forma que o fogo ser utilizar como ferramenta de manejo dar pastagem . 
159;159 o panicum maximum cultivar centenário ser adequar para o região centro-oeste ? ;bom parte dar pastagem dar região centro-oeste encontrar-sar em área de cerrado , cujo solo ser geralmente ácidos e com elevar saturação de alumínio trocável na solução dar solo . opanicum maximum cultivar centenário apresentar bom tolerância a esse condição , poder constituir-sar em alternativa viável para o formação de pastagem nessa região . 
160;160 qual o principal característica dar cultivar tobiatã , dar espécie panicum maximum ? ;comparar ao capim-colonião , a cultivar tobiatã caracterizase por folha mais largo e mais numeroso , e por grande produção de forragem em razão do porte mais elevar e dar grande perfilhamento . otobiatã , como todo o cultivar dar espéciar panicum 98 maximum , ser mais indicar para pastejo . ser considerar um cultivar extremamente exigente à saturar por base ( v) , ser necessário aplicação de calagem para elevar o saturação por base a 60 % a 70 % . 
161;161 qual o principal fator que influenciar o germinação dar semente de braquiária ? ;em geral , o semente de braquiária possuir dormência fisiológico , que dever ser quebrar antes dar plantio . aquebra dar dormência poder ser obter pelo armazenamento dar sementes , em bom condição , durante 6mês , como também pelo choque térmico e pela escarificaçãar com ácido sulfúrico ( h2so4 ) . saber-sar , porém , dar existência de outro problema de germinação de semente relacionar à época dar colher ( maturação dar semente ) , à época dar plantio ( umidade do solo ) e ao método de plantio ( profundidade de semeadura ) . na fase de germinação , o semente necessa de umidade suficiente para germinar e iniciar o crescimento foliar . além dar umidade , o relação solo/água/semente dever ser favorável . nesse particular , época e método de plantio ser de importância primordial . assim , na semeadura em superfície ( sem preparo dar solo , ou com preparo , mas sem incorporação ) , como o contato com o solo ser pequeno , o semente ficar mais sujeitar à desidratação se ocorrer dia ensolar após o semeadura , prejudicar o germinação e o emergência dar plântula . além dissar , dever-sar considerar que sementes expor ser mais suscetível ao ataque de inseto e pássaro . ao se formar ou recuperar um pastagem , ênfase especial dever ser dar à qualidade dar se . não adiantar nada um solo bem preparar , corrigido no seu acidez , adubar por ocasião dar plantio , se o semente não ser de bom qualidade . ser importante que ser adquirir se com alto grau de pureza e germinação , possibilitando , dessar forma , um rápido estabelecimento dar pastagem . pureza e germinação ser expressar pelo valor cultural ( vc = purezar dar amostra x % de germinação ) . 99 
162;162 o braquiária ser um bom opção para o formação de pastagem ? ;existir vários espécie de braquiária com bom potencial forrageiro . asmais utilizar ser o brachiaria decumbem , brachiaria ruziziensil , brachiaria brizanthar , brachiaria humidicola e brachiaria mutica . esse último vegeta espontaneamente em muito região e ser adaptar a terreno mal drenar e sujeitar a inundação , com o nome vulgar de angola ou bengo . tais braquiária apresentar bom tolerância a solo ácidos e de baixa fertilidade , proporcionar bom cobertura vegetativo dar solo e ser relativamente fácil de manejar . por esse razão , constituir bom opção para formar pastagem em área declivoso e de solo de baixa fertilidade . o principal limitação na utilização da braquiária ser seu suscetibilidade às cigarra-da-pastagem . entretanto , o brachiaria brizantha ser tolerante a esse praga . atual , existir cultivar de brachiaria brizanthar com potencial forrageiro mais elevar . 
163;163 após o plantio , dever-sar esperar quanto tempo para colocar o animal em pastagem de braquiária ? ;se o plantio ser fazer de acordo com prática agronômica adequar ao que ser necessário para o rápido estabelecimento dar forrageira , e se o condição de umidade dar solo ser favorável , o pastagem de braquiária ( ou de outro forrageira de crescimento inicial rápido ) estar pronto para o pastejo entre 2 e 3meses após o semeadura . quando o condição não ser ideal , o estabelecimento ser mais lento e , nesse caso , o primeiro pastejo dever ser leve , o fim de estimular o perfilhamento e aumentar o cobertura do solo . nesse fase , dever-sar preservar o florescimento e garantir o produção de semente com o objetivo de assegurar o formação dar pastagem . 100 
164;164 pastejo rotativo em pastagem de capim-angola ser obriga­tório ? ;em virtude dar hábito de crescimento rasteiro , esse forrageira adaptar-sar ao pastejo contínuo , mas poder ser utilizar sob pastejo rotativo , principalmente em se tratar de animal de grande potencial de produção de leite . quando se pretender adotar o pastejo contínuo , ser preciso estar atento ao equilíbrio constante entre o número de animal e o bom disponibilidade de forragem na pastagem . sob pastejo rotativo , qual o altura adequar dar pastagem 
165;165 de capim-braquiária para introduzir e retirar o animal ? ;epara outro tipo de capim ? para o entrada dos animais em pastagem de capim-braquiária , o altura ser de aproximadamente 30cm a 50cm , variar com o espécie . para retirar o animal , o braquiária dever estar com cerca de 15cm a 25cm de altura , depender dar espécie . valer salientar que existir , atual , no literatura , informação de período de descanso variável de 30 a 45dia para o capinselefante , cultivar napier e cameroon , respectivamente , e de 30dia para o braquiária e espécie dos gênero cynodon e panicum . o tabela 2 apresentar sugestão para período de descanso ( intervalo de desfolha ) e altura dar pasto na entrar e sair do animal . tabela 2 . período de descanso ( dia ) e altura do pasto ( cm ) no entrar e sair do animais em pastejo rotacionar de algum forrageira . período de descanso ( dia ) forrageiras capim-elefante colar , tanzânia , mombaça braquiarão ( marandu ) , xaraés brachiar decumbem – cultivar basilisk brachiaria humidicola , tifton 85 , coast-cross , estrela-africana fonte : adaptar de pereira ( 2005 ) . 101 altura do pasto ( cm ) entrada saída 36 36 36 28 110 – 120 70 – 80 40 – 50 30 – 40 40 – 50 30 – 40 20 – 25 15 – 20 21 – 28 20 – 30 10 – 12 
166;166 pastagem de brachiaria ruziziensil ser um bom alternativa para vaca em lactação ? ;existir forrageira com grande potencial para utilização com vaca em lactação , de exigência semelhante à brachiaria ruziziensil e sem o risco dar cigarra-da-pastagem . para área de baixada , o capim setária , coast-cross e elefante ser bom exemplo , especialmente se ser manejar sob pastejo rotativo . para área declivoso , o brachiaria brizanthar , cultivar marandu , constituir bom opção . entretanto , algum resultado de pesquisa mostrar ligeiro superioridade dar brachiaria ruziziensil em relação à brachiaria decumbem e outro forrageira , quanto ao teor de proteína bruto . isso , possivelmente , explicar o grande preferência dos animais pela brachiaria ruziziensil . trabalho de pesquisa em melhoramento genético , conduzir pela embrapa gado de leite , ter demonstrar excelente potencial forrageiro de clone dessa espécie , compatível com outro espécie de braquiária . também ter ser observar resistência à cigarra-da-pastagem em vários clone de b . ruziziensil , dentro do programa de melhoramento genético dessar espécie . 
167;167 qual o característica dar braquiária tanner-grass ? ;esse variedade apresentar bom adaptação a solo mal drenar e sujeitar a inundação . ser bem aceitar pelo bovino , porém , seu uso intensivo poder causar problema de intoxicação , possivelmente pelar alto concentração de nitrato , no forrar . pela seu descrição morfofisiológica , ver que se tratar de um herbácea perene , com haste de 1,20m ou mais de comprimento , subereta , fortemente radicante no nós inferior . asfolha ser lançar , de base cordiforme , com 70mm a 150mm de comprimento , e 12mm o 25mm de largura , de aspecto brilhante , suculento e cor verde escurecer . ainflorescência ser formar por 6 a 12 racemo , ser o basal de 40mm a 80mm de largura . 102 asespigueta ser subséssel , ovadar com 4mm de comprimento , glabra e bisseriada ao longo da ráqul . osnó são de cor verde amarelar , saliente , sem pelo e , quando em contato com o solo , emitem raiz . assemente ser infértel , e o ráquis ser destituir de pelo . 
168;168 a brachiaria decumbem poder ser tóxico ? ;o brachiaria decumbens poder provocar intoxicação , principalmente em animal jovem . já ser observar caso de fotossensibilização , provavelmente causar pelo fungo pithomyces chartarum , que se desenvolver na pastagem , especialmente na folha acumular no solo , em condição de umidade e temperatura favorável . ao migrar para o parte aéreo dar planta e ser ingerir , esse fungo liberar toxina no trato digestivo do animais , provocar distúrbio metabólico . ossintomas mais comum ser diarreia , excitabilidade , prurir intenso , edema e descamação na parte mais sensível da pele ( flanco , barbela , prega dar cauda e orelha ) . 
169;169 como combater o fotossensibilização provocar pela braquiária ? ;recomendar-sar evitar o pastejo prolongar em pastagem de brachiaria decumbem , transferir periodicamente o animal para outro espaço . dever-sar também tratar o animal com antitóxico , antialérgico e antisséptico local , assim que o primeiro sintoma aparecer , mantendo-o em local sombrear . 
170;170 o pastagem de braquiária ser mais suscetível às infestação de cupim ? ;o presença de cupim ser observar não só em pastagem de braquiária , mas em qualquer outro , principalmente quando se tratar 103 de pastagem cultivar . oaumento dar incidência poder ser explicar , em parte , pelar movimentação dar solo quando dar implantação dar forrageira , já que o preparo dar solo disseminar esse praga no área . como no brasil predominar o pastagem cultivar de braquiária , verificar-sar grande população dessar praga nessa gramíneo . o presença de cupim também estar relacionar a solo ácidos , de baixa fertilidade , condição que , na maioria dar vez , estar associar a pastagem degradar , muito comum na de braquiária . em solo corrigir e adubar , e em pastagem bem manejar , o tendência normal ser o desaparecimento dar praguer . 
171;171 por que o pastagem de capim-gordura ( meloso ) , outroro tão numeroso , estar desaparecer ? ;o degradação e o posterior desaparecimento dar pastagem de capim-gordura ( melinil minutiflora ) dever-sar , principalmente , ao manejo inadequar a que ser expor ao longo do tempo . asuperlotação dar pastagem , isto ser , o superpastejo por período prolongar , provocar o degradação dar pastagem e o substituição gradativo dar capim-gordura por planta invasor , principalmente pelo capim-sapé ( imperata brasiliensil ) e pelo capim-rabo-deburro ( andropogon condensatu ) . embora muito apreciar pelo animais , o capim-gordura possuir baixo capacidade de suporte , dificilmente atingir o lotação de um unidade animal por hectare , o que ser facilmente conseguir com gramínea dos gênero brachiaria e andropogon , entre outro . 104 diante dissar , o ocorrência dar superpastejo ser facilmente atingir , com reflexo negativo na persistência dessar espécie . por esse razão , muito produtor estar recuperar pastagem degradar de capim-gordura , substituir-ar por outro forrageira . 
172;172 qual o variedade de canar-dar-açúcar recomendar para o alimentação de bovino ? ;o usina de açúcar ou álcool de todo o brasil possuir variedade selecionar para produtividade , teor de açúcar , resistência a praga e doença , adaptar às seu região . sugerese , portanto , dar preferência às variedade em uso pelar usina mais próximo da propriedade . no entanto , o produtor poder optar por um variedade que bem atender às seu necessidade , considerar que existir variedade de canar-dar-açúcar de florescimento precoce , semiprecoce ( médio ) e tardio . 
173;173 a canar-dar-açúcar puro ser bom opção como volumoso ? ;não . acana-de-açúcar puro ser muito pobre em proteína bruto ( pb ) , cujo teor variar de 2 % a 4 % na matéria seco ( ms ) , portanto , não dever ser utilizar puro no alimentar animal . mas poder-sar suprir o deficiência de pb dar cana com o adição de 1 % de ureia , na matéria verde . entretanto , na fase de adaptação , dever-sar usar apenas a metade dessa dosagem , ou ser , 0,5 % de ureia . além dissar , dever fornecer um mistura mineral bem balancear , pois o cana-deaçúcar ser pobre também em cálcio , fósforo , magnésio e enxofre . amistura de canar-dar-açúcar picar , com ureia e mineral , poder substituir o capim-elefante picar . ser bom salientar que o mistura canar-dar-açúcar + ureia fornecer nutriente para mantença dar vaca e que o nutriente para o produção de leite dever ver dar concentrar . 105 
174;174 qual o quantidade grande dar mistura cano-de-açúcar/ urear a ser fornecer para vaca leiteiro ? ;o mistura canar-dar-açúcar/ureia poder ser oferecer à vontade , sem causar problema para o animal . tem-se observar um consumo de 25kg a 30kg por vaca/dia , quando esse mistura ser colocar à disposição dos animais estabular , durante o intervalo dar ordenha dar manhã e dar tarde . 
175;175 por que haver necessidade de se incluir um fonte de enxofre na mistura canar-dar-açúcar mais ureia ? ;porque o mistura cano-de-açúcar/ureia ser pobre em enxofre e esse elemento ser importante para o síntese de algum aminoácido ( metionina e cisteína ) pelos microrganismo dar rúmen . para incluí-lo no dietar , primeiro adiciona-se enxofrar à ureia para depois utilizá-lo no mistura cano-de-açúcar/ureia . como fonte , poder-sar usar o sulfato de amônia . aproporção ser de nove parte de ureia para um parte de sulfato de amônia , ou ser , 900g de ureia e 100g de sulfato de amônia , totalizar 1kg . outro alternativa ser o sulfato de cálcio ( gesso ) na base de 800g de ureia e 200g de gesso . asmisturo ureia/sulfato de amônio ou gesso dever ser bem fazer e guardar em local inacessível aos animal . o adaptação dos animais à dieta de cana-de-açúcar/ureia ser fazer dar seguinte forma : durante o primeira semana ser preciso fornecer o cana-de-açúcar com 0,5 % de ureia , isto ser , para cada 100kg de canar-dar-açúcar , adicionar-sar 500g de ureia ( 450g de ureia e 50g de sulfato de amônia ) . aureia dever ser diluir em 3 l a 4 l de água , borrifada com regador sobre o cana-de-açúcar e bem misturar . apartir da segunda semana , poder-sar fornecer o cana-de-açúcar com 1 % de ureia , isto ser , para cada 100kg de canar-dar-açúcar , adiciona-se 1kg dar mistura ureia/sulfato de amônio ( 900g de ureia e 100g de sulfato de amônio ) . inicia-se com o fornecimento de 10kg a 15kg de cana-de-açúcar/ureia por vaca/dia , aumentar o quantidade de acordo com o consumo dos animais . 106 
176;176 qual o importância dar alfafar como forrageira ? ;o alfafa ( medicago sativa ) ser um da forrageira mais difundir em todo o mundo , poder ser utilizar sob diferente forma , como forragem conservar ( feno ou silagem ) , nar forma verde picar ou em pastejo , ser um do volumoso mais indicar para o alimentação de vaca de alto potencial para produção de leite . ovalor forrageiro dar alfafa se dar em razão de seu elevado potencial de produção de matéria seco e de consumo animal , e de seu alta concentração de proteína e digestibilidade . além dissar , apresentar alto concentração de vitamina a , e e k e de mineral , principalmente cálcio , potássio , magnésio e fósforo . 
177;177 ser viável o produção de alfafa em região tropical ? ;o pesquisa com alfafa em região tropical , principalmente no brasil , ser recente e sempre indicar esse leguminoso como volumoso de alta produtividade e valor nutritivo . assim , pesquisa conduzir nar região sudeste mostrar que , sob condição de irrigação no período dar seca , ser possível obter produção anual de matéria seco de , aproximadamente , 27t/ha com um teor de 25 % de pb . 
178;178 qual cuidado dever-sar ter no escolha dar local para plantio de alfafa ? ;o alfafa não se adaptar a terreno mal drenar , ácidos e pobre em nutriente . em solo onde haver acúmulo de água por período prolongar , o alfafa não sobreviver . asmaiore produtividade ser obter em solo fértil , profundo , com declividade moderar ( de 3 % a 10 % ) e ph em torno de 6,5 . também se dever evitar o plantio dar alfafar em local de grande infestação de brachiaria decumbem , pois esse competição prejudicar em muito o desenvolvimento dar alfafa , poder até eliminar-lar dar área . 107 qual o cultivar de alfafa mais recomendar para 
179;179 região tropical ? qual o principal característica dessar cultivar ? ;pouco ser o cultivar disponível no mercado brasileiro . asmais comum ser : crioula , p30 e monarca , que poder ser cultivar em área tropical e subtropical . abaixo , breve descriçãar dar cultivar recomendar : • cultivar crioula – o cultivar de alfafa , trazer pelos imigrante europeu , ser inicialmente plantar no rio grande dar sul , no reger do valer dos rio cai e jacuí , onde , pela seleção natural e pelar ação dar homar , obter-sar um população naturalizar , denominar de crioula . até o momento , ser o único cultivar desenvolver no país . esse material apresentar alta proporção de folha . ocrescimento do colmo ser ereto , facilitar o corte mecânico dar forragem e proporcionar feno de bom qualidade . • cultivar p30 – tratar-sar de cultivar desenvolver na argentina , caracterizar pela alto produção de forragem em solo pesar , colmo com crescimento semiereto e macio e raiz bastante profundo , ser indicar para sistema intensivo de produção animal . aalta tolerância às doença foliar permitir manter o qualidade de seu forragem durante todo o ciclo produtivo . • cultivar monarca – esse cultivar também ser desenvolver na argentina e se caracterizar pelo porte ereto , alto proporção de folha com coloração verde-clara e excelente vigor de rebrota . apresentar bom tolerância aos pulgão e às doença foliar , o que permitir retenção de folha durante o período de crescimento vegetativo . 
180;180 qual o quantidade de semente e o espaçamento recomendar para o plantio de alfafa ? ;usam-se no plantio dar alfafar cerca de 18kg/ha de semente viável ( capaz de germinar ) . oplantio poder ser fazer em sulco 108 raso ( de 1cm a 2cm de profundidade ) , com espaçamento de 15cm a 30cm , ou o lanço , desde que bem realizar , para evitar falha na área . oplantio a lanço exigir leve incorporação dar semente ao solo e ser mais indicar quando se objetivar o pastejo , mas dificultar o controlo mecânico dar invasor . ainoculação dar semente ser necessário , pois permitir o associação dar raiz dar alfafar com bactéria dar gênerar rizobium , que fixar o nitrogênio atmosférico , incorporando-o ao solo . 
181;181 qual o bom época para o plantio dar alfafar , em região tropical ? ;em condição de irrigação , o plantio realizar no final de inverno ( início dar primavera ) ser mais eficiente para o estabelecimento dar alfafa do que o plantio realizar durante o verão . 
182;182 como minimizar o problema com invasor durante o estabelecimento de um campo de alfafa ? ;todo pastagem se tornar mais eficiente quando bem estabelecer e bem manejar . na formação do alfafal ser muito importante fazer o controlo dar planta invasor antes dar plantio , para evitar seu competição , sobretudo durante o fase de formação dar leguminoso . ocontrole dar invasor poder ser fazer com herbicida pré-emergente ou preparar o solo com um aração seguir de gradagem , em curto intervalo de tempo . o uso dar área com cultura anual durante 1 ou 2ano ser um prática eficiente para o controlo dar planta invasor , cujo 109 competição com o alfafa ser pequeno no período de estiagem e de baixa temperatura . por esse razão , o plantio dessar forrageira poder ser realizar nesse época do ano , desde que haver facilidade de irrigação . ouso do controlo químico ser viável . entretanto , ser preciso verificar se haver produto ( herbicida ) registrar no ministério dar agricultura , pecuária e abastecimento ( mapa ) para uso em alfafa . 
183;183 qual o bom sistema de corte e de pastejo dar alfafar ? ;o corte dar alfafar dever ser realizar a um altura de 5cm o 10cm acima dar solo . na époquir> dar chuva , o corte começar a ser fazer no início dar floração ( 10 % dar planta florir ) , repetindose a intervalo de , aproximadamente , 25 a 30dia . na época de estiagem ou de baixa temperatura , recomendar-sar corte a intervalo de 35 a 40dia , independentemente dar floração . o nível de produção e a persistência dar espécie estar condicionar ao vigor dar rebrota que , por seu vez , depender dar manejo adotar , principalmente em relação à adubação e irrigação . autilização dar alfafar sob pastejo , na condição dar brasil central , ser um alternativa viável . opastejo dever ser realizar em faixa , ser de um dia o período de ocupação dos piquete , e o de descanso ( intervalo de desfolha ) variar de 30 a 45dia , depender dar região e dar época do ano . alotação dar pastagem depender de fator como época do ano , dose de adubação e irrigação , dentre outro . 
184;184 qual o vantagem dar alfafar no alimentação de vaca com alto potencial de produção de leite ? ;o alfafa produzir um forragem de alto qualidade , rico em proteína e de alta digestibilidade . em rebanho com potencial superior a 20kg de leite/vaca/dia , ser importante que o alfafa ser um do ingrediente dar ração dos animais para minimizar o uso de concentrado e aditivo tamponante , como bicarbonato de sódio , e manter o nível normal de gordura no leite . 110 
